SKU,Nombre del producto,Marca,Categoría,Subcategoría,Precio de lista,Más bajo,Más alto,Precio mercado,Best for Pets (Final),Best for Pets (Normal),Best for Pets (Tarjeta),SKU Best for Pets,Club De Perros Y Gatos (Final),Club De Perros Y Gatos (Normal),Club De Perros Y Gatos (Tarjeta),SKU Club De Perros Y Gatos,DrPet (Final),DrPet (Normal),DrPet (Tarjeta),SKU DrPet,Laika Chile (Final),Laika Chile (Normal),Laika Chile (Tarjeta),SKU Laika Chile,NovaPet (Final),NovaPet (Normal),NovaPet (Tarjeta),SKU NovaPet,Pawal (Final),Pawal (Normal),Pawal (Tarjeta),SKU Pawal,Pet City (Final),Pet City (Normal),Pet City (Tarjeta),SKU Pet City,Pet Happy (Final),Pet Happy (Normal),Pet Happy (Tarjeta),SKU Pet Happy,Pet&Go (Final),Pet&Go (Normal),Pet&Go (Tarjeta),SKU Pet&Go,Petco Chile (Final),Petco Chile (Normal),Petco Chile (Tarjeta),SKU Petco Chile,PuntoMascotas (Final),PuntoMascotas (Normal),PuntoMascotas (Tarjeta),SKU PuntoMascotas,PyK (Final),PyK (Normal),PyK (Tarjeta),SKU PyK,Superzoo (Final),Superzoo (Normal),Superzoo (Tarjeta),SKU Superzoo,TusMascotas (Final),TusMascotas (Normal),TusMascotas (Tarjeta),SKU TusMascotas
12449268,CAT CHOW Adt Delicias Sab Carne  1 kg,cat chow,gato,,"$ 6,190","$ 6,120","$ 6,120","$ 6,120",,,,,,,,,,,,,"$ 6,120","$ 6,800","$ 5,780",7613035951280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449267,CAT CHOW Adt Delicias Sab Carne  3 kg,cat chow,gato,,"$ 15,990",$ 81,"$ 17,990","$ 12,120",,,,,,,,,,,,,"$ 15,210","$ 16,900","$ 14,365",7613035951181,,,,,$ 81,,,188-320,"$ 15,200","$ 15,990",,10003190,,,,,"$ 17,990",,,7351-11568,,,,,,,,,,,,,,,,,,,,
12442671,CAT CHOW ADULTOS Hogareños  1 kg,cat chow,gato,,"$ 6,190","$ 6,120","$ 6,120","$ 6,120",,,,,,,,,,,,,"$ 6,120","$ 6,800","$ 5,780",7613039343128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12442300,CAT CHOW ADULTOS Hogareños  3 kg,cat chow,gato,,"$ 15,990","$ 14,500","$ 17,990","$ 16,245","$ 14,500",,,alg-01-00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$ 17,990",,,7350-11567,,,,,,,,,,,,,,,,,,,,
12442655,CAT CHOW ADULTOS Hogareños  8 kg,cat chow,gato,seco,"$ 29,490","$ 26,550","$ 35,990","$ 30,110","$ 27,930","$ 39,900",,alg-01-00050,,,,,,,,,"$ 29,520","$ 32,800","$ 27,880",7613034872982,"$ 28,800","$ 32,000",,sa-12442655-ne,,,,,"$ 26,550","$ 29,490",,10003329,,,,,"$ 34,990",,,7350-11570,,,,,"$ 26,990",,,30053,,,,,"$ 35,990",,,1292,,,,
12449306,CAT CHOW Adultos Pescado  1 kg,cat chow,gato,,"$ 6,190","$ 5,940","$ 5,940","$ 5,940",,,,,,,,,,,,,"$ 5,940","$ 6,600","$ 5,610",7613035951464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449320,CAT CHOW Adultos Pescado  3 kg,cat chow,gato,,"$ 15,990",$ 81,"$ 17,990","$ 11,920",,,,,,,,,,,,,"$ 15,210","$ 16,900","$ 14,365",7613035951495,,,,,$ 81,$ 90,,189-322,"$ 14,400","$ 15,990",,10003152,,,,,"$ 17,990",,,7349-11566,,,,,,,,,,,,,,,,,,,,
12449292,CAT CHOW Adultos Pescado  8 kg,cat chow,gato,seco,"$ 29,490","$ 25,070","$ 35,990","$ 29,771","$ 27,930","$ 39,900",,alg-01-00043,,,,,,,,,"$ 29,700","$ 33,000","$ 28,050",7613035951488,"$ 27,900","$ 31,000",,sa-12449292-ne,"$ 29,601","$ 32,890",,189-321,"$ 25,070","$ 29,490",,10003176,,,,,"$ 34,990",,,7349-11569,,,,,"$ 26,990",,,30050,,,,,"$ 35,990",,,1291,,,,
12449109,CAT CHOW DELIMIX  1kg,cat chow,gato,,"$ 6,190","$ 5,490","$ 6,600","$ 6,045",,,,,,,,,,,,,"$ 6,600",,,7613035951402,"$ 5,490","$ 6,100",,sa-12329405-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449264,CAT CHOW DELIMIX  3kg,cat chow,gato,,"$ 15,990","$ 11,610","$ 17,990","$ 15,003","$ 11,610",,,alg-01-00028,,,,,,,,,"$ 15,210","$ 16,900","$ 14,365",7613035951310,,,,,,,,,"$ 15,200","$ 15,990",,10003244,,,,,"$ 17,990",,,7348-11564,,,,,,,,,,,,,,,,,,,,
12449123,CAT CHOW Esterilizado DefensePlus  1 kg,cat chow,gato,,"$ 6,190","$ 6,120","$ 6,120","$ 6,120",,,,,,,,,,,,,"$ 6,120","$ 6,800","$ 5,780",7613036572187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449113,CAT CHOW Esterilizado DefensePlus  3 kg,cat chow,gato,,"$ 15,990","$ 15,210","$ 18,990","$ 16,485",,,,,,,,,,,,,"$ 15,210","$ 16,900","$ 14,365",7613036572156,"$ 15,750","$ 17,500",,sa-12449113-ne,,,,,"$ 15,990",,,10063941,,,,,"$ 18,990",,,7355-11575,,,,,,,,,,,,,,,,,,,,
12442303,CAT CHOW Esterilizado DefensePlus  8 kg,cat chow,gato,seco,"$ 29,490","$ 26,320","$ 34,990","$ 28,550","$ 26,320",,,alg-01-00051,,,,,,,,,,,,,"$ 27,900","$ 31,000",,sa-12442303-ne,,,,,"$ 26,550","$ 29,490",,10071052,,,,,"$ 34,990",,,7355-11577,,,,,"$ 26,990",,,37993,,,,,,,,,,,,
12449310,CAT CHOW Gatitos  3 kg,cat chow,gato,,"$ 16,990",$ 81,"$ 19,990","$ 13,105",,,,,,,,,,,,,"$ 16,200","$ 18,000","$ 15,300",7613036672887,,,,,$ 81,$ 90,,190-324,"$ 16,150","$ 16,990",,10058800,,,,,"$ 19,990",,,7354-11574,,,,,,,,,,,,,,,,,,,,
12500993,DOG CHOW Adt M/G Car&Pll SinCol   8kg,dog chow,perro,seco,"$ 24,990","$ 19,900","$ 26,990","$ 23,070","$ 22,000",,,alp-01-12771,,,,,,,,,"$ 24,660","$ 27,400","$ 23,290",7613287909749,"$ 22,950","$ 25,500",,sa-12329378-ne,,,,,"$ 22,000","$ 24,990",,10002780,,,,,"$ 26,990",,,7340-11552,,,,,"$ 22,990",,,30043,,,,,"$ 19,900",,,3733,,,,
12381386,DOG CHOW Adt M/G Car&Pll SinCol  18kg,dog chow,perro,seco,"$ 48,790","$ 40,990","$ 53,990","$ 44,702","$ 43,120",,,alp-01-10132,,,,,,,,,"$ 48,600","$ 54,000","$ 45,900",7613036672917,"$ 40,990",,,sa-12381386-ne,,,,,"$ 41,480","$ 48,790",,10064580,,,,,"$ 42,741",,,7340-11553,,,,,"$ 41,990",,,37699,,,,,"$ 53,990",,,4475,,,,
12500997,DOG CHOW AdtMnPqn Car&Pll SinCol  8 kg,dog chow,perro,seco,"$ 28,490","$ 24,220","$ 34,990","$ 27,714",,,,,,,,,,,,,"$ 28,170","$ 31,300","$ 26,605",7613287909879,"$ 25,200","$ 28,000",,sa-12329386-ne,,,,,"$ 24,220","$ 28,490",,10002827,,,,,,,,,,,,,"$ 25,990",,,30059,,,,,"$ 34,990",,,1232,,,,
12471502,DOG CHOW Adulto 7+ Longevidad  15kg,dog chow,perro,,"$ 38,490","$ 27,810","$ 30,990","$ 29,830","$ 27,810",,,alp-01-00012,,,,,,,,,"$ 30,690",,,7613035797024,"$ 30,990",,,sa-12329377-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471499,DOG CHOW Adulto 7+ Longevidad  18kg,dog chow,perro,seco,"$ 48,790","$ 21,000","$ 48,150","$ 39,533","$ 43,120",,,alp-01-12773,,,,,,,,,"$ 48,150","$ 53,500","$ 45,475",7613287327482,"$ 45,000","$ 50,000",,sa-12471499-ne,,,,,"$ 41,480","$ 48,790",,10061169,,,,,"$ 35,991",,,7346-11561,,,,,"$ 41,990",,,30047,,,,,"$ 21,000",,,1233,,,,
12471500,DOG CHOW Adulto 7+ Longevidad  3kg,dog chow,perro,,"$ 11,890","$ 9,500","$ 12,060","$ 10,780","$ 9,500",,,alp-01-00011,,,,,,,,,"$ 12,060",,,7613287327413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471501,DOG CHOW Adulto 7+ Longevidad  8kg,dog chow,perro,seco,"$ 24,990","$ 21,250","$ 26,991","$ 23,564","$ 22,000",,,alp-01-12772,,,,,,,,,"$ 25,650","$ 28,500","$ 24,225",7613287327444,"$ 22,500","$ 25,000",,sa-12471501-ne,,,,,"$ 21,250","$ 24,990",,10002971,,,,,"$ 26,991",,,7346-11560,,,,,"$ 22,990",,,30046,,,,,,,,,,,,
12460993,DOG CHOW Adulto Medianos y Grandes Pll&Pav 3kg,dog chow,perro,,"$ 11,890","$ 22,000","$ 22,000","$ 22,000","$ 22,000",,,alp-01-12770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12461010,DOG CHOW Adulto Minis y Pequeños Pll&Pav  3 kg,dog chow,perro,,"$ 12,990","$ 11,600","$ 11,600","$ 11,600","$ 11,600",,,alp-01-09848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12461001,DOG CHOW Adulto Minis y Pequeños Pll&Pav  8 kg,dog chow,perro,seco,"$ 28,490","$ 25,200","$ 34,990","$ 28,812","$ 25,200",,,alp-01-12768,,,,,,,,,"$ 28,980","$ 32,200","$ 27,370",7613036973533,"$ 27,900","$ 31,000",,sa-12461001-ne,,,,,,,,,,,,,"$ 26,990",,,7339-11551,,,,,,,,,,,,,"$ 34,990",,,4471,,,,
12461139,"DOG CHOW Cachorro Minis y Pequeños  1,5kg",dog chow,perro,,"$ 8,990","$ 7,600","$ 7,600","$ 7,600",,,,,,,,,,,,,"$ 7,600",,,7613035950863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471514,DOG CHOW Cachrorro Raza Mediana y Grande 18kg,dog chow,perro,seco,"$ 53,490","$ 44,990","$ 58,990","$ 49,373",,,,,,,,,,,,,"$ 53,100","$ 59,000","$ 50,150",7613287327390,"$ 47,700","$ 53,000",,sa-12471514-ne,,,,,"$ 45,470","$ 53,490",,10064788,,,,,"$ 44,990",,,7342-11556,,,,,"$ 45,990",,,37700,,,,,"$ 58,990",,,4468,,,,
12460618,DOG CHOW Cachrorro Raza Mediana y Grande 3kg,dog chow,perro,,"$ 12,990","$ 12,420","$ 12,420","$ 12,420",,,,,,,,,,,,,"$ 12,420","$ 13,800","$ 11,730",7613035950924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471512,DOG CHOW Control de Peso  15kg,dog chow,perro,,"$ 38,490","$ 27,645","$ 27,645","$ 27,645",,,,,,,,,,,,,"$ 27,645",,,7613036972666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471510,DOG CHOW Control de Peso  3kg,dog chow,perro,,"$ 11,890","$ 10,190","$ 12,060","$ 11,125",,,,,,,,,,,,,"$ 12,060","$ 13,400","$ 11,390",7613287327505,,,,,,,,,"$ 10,190",,,7792930078688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
