,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked
0,telefonia,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb5f8aa61c1cae2a8/65f04ea7039fddccab335e7f/HH1-dk-telefonia-120424-mb.jpg,2024-03-12 11:25:49.618749
1,apple week,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt6f9ebd51824126e5/65ef736c54369a1b306929b9/HH2-dk-appleweek-120324-MB.jpg,2024-03-12 11:25:49.618749
2,belleza f,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltbe946c37d582ef6d/65eb567f6a79de02ec143de0/HH2-dk-BellezaF-110424-PS.jpg,2024-03-12 11:25:49.618749
3,moda mhn,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc8bcff1c9ced6714/65eb67b2fd4623686267de41/HH4-dk-vestuario-110324-gmc.jpg,2024-03-12 11:25:49.618749
4,rosen week,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt307bb12896775045/65f04968d326765c557e3d78/Camas-Rosen-HH5-dk-130324-NM.jpg,2024-03-12 11:25:49.618749
5,armani code,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta3990d7cd4ea34c6/65eb684d2850974f0c44e798/HH7-dk-armani-110324-ne.jpg,2024-03-12 11:25:49.618749
6,computacion,ofertas_secundarias,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blteadca8036c46a06c/65f0400e173215e6bdd2a2fb/BH-01%E2%80%93computacion-120324-pb.jpg,2024-03-12 11:25:49.618749
7,smartwatches,ofertas_secundarias,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt87c845b18383b026/65f04b22a1e81556aed59dcb/BH-02%E2%80%93smartwatch-120324-pb.jpg,2024-03-12 11:25:49.618749
8,video,ofertas_secundarias,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt91c66565d9db0e8c/65f0400e5fa1c62b314bb9a9/BH-03-video-120324-pb.jpg,2024-03-12 11:25:49.618749
9,linea blanca ,ofertas_secundarias,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb65cc0431bbc4b39/65f0400ee55fcbf18b233698/BH-04-lineablanca-120324-pb.jpg,2024-03-12 11:25:49.618749
10,zapatillas,grid_ofertas,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1353014bf221c66c/65eb5ee8a54ef81d2b9309ad/MC1-dk-zapatillas-110324-IR.jpg,2024-03-12 11:25:49.618749
11,perfumes 30% descuento,grid_ofertas,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt34f421f45e0c8c8e/65f05ab196251b79f271dc3b/MC2-dk%E2%80%94perfumes-130324-gmc.jpg,2024-03-12 11:25:49.618749
12,vestuario deportivo,grid_ofertas,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta91cda76556ce9ee/65ef6d3d17321518c0d29f70/MC3-dk-vestuariodeportivo-1103-pb.jpg,2024-03-12 11:25:49.618749
13,especial desayuno,grid_ofertas,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb4e61cab2d5ae9cd/65eb531ac26d9179555393bb/MC4-dk-desayunos-1103-pb.png,2024-03-12 11:25:49.618749
14,linea blanca,grid_ofertas,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0e3aba2029d80a82/65ee6ee40194ca14df27ab2e/MC5-dk-LineaBlanca-1103-mb.jpg,2024-03-12 11:25:49.618749
15,lg week,grid_ofertas,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt98127fa3a0a8b05b/65eb6954a99186c39ae7bc13/MC6-dk-lg-1103-pb.png,2024-03-12 11:25:49.618749
16,comedores,grid_ofertas,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt004ca5a9b9dba087/65f0555b611972a70a644482/MC7-dk-cat-COMEDOR-120324-ay.jpg,2024-03-12 11:25:49.618749
17,ropa de cama,grid_ofertas,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt399722071fefe96d/65eb52ff28294d841bf2210d/MC8-dk-Ropadecama-070324-PG.png,2024-03-12 11:25:49.618749
18,tous,grid_ofertas,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt217ae780f2a8dd29/65ef17f2a1e8157f8cd5970c/MC9-dk-tous-110324-IR.jpg,2024-03-12 11:25:49.618749
19,mascotas,grid_ofertas,10,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltea8b2350c663c887/65eb52e73eefea78f5a5ca1e/MC10-dk-mascotas-1103-pb.png,2024-03-12 11:25:49.618749
20,fitness,grid_ofertas,11,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltad1e0e774201e177/65ef5decfc8631700ad6eff5/Fitness-MC11-dk-110324-NM_%E2%80%93_1.jpg,2024-03-12 11:25:49.618749
21,bicicleta,grid_ofertas,12,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta0bae7d3d3227173/65f054a9f4a4cfe99014cd19/MC12-dk-bici-1203-pb.png,2024-03-12 11:25:49.618749
22,desktop-category-image,lo_ultimo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltcd7077fe90ca03f6/65eb6a5f4fcc270568935bad/01-LoUltimo-dk-Tops-110304-PS.jpg,2024-03-12 11:25:49.618749
23,desktop-category-image,lo_ultimo,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc6c9a2a8e3a2e23d/65eb6a5ff6198cbc8d06d173/02-LoUltimo-dk-Sastreros-110324-PS.jpg,2024-03-12 11:25:49.618749
