,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked
0,especial - todas las ofertas mdeg carnes ,ofertas_principales,1,https://assets.jumbo.cl/uploads/2024/03/4-desktop-home-carnes-banner-01-generico-07032024.jpg,2024-03-08 17:45:10.754916
1,bombazo exclusivo ecomm - filetito o pechuga deshuesada super pollo o ariztia 830/850 grs $4.990 (p.ref. $6.590) ,ofertas_principales,2,https://assets.jumbo.cl/uploads/2024/03/1-desktop-home-banner-01-bombazo-mercado-carnes-pechuga-deshuesada-o-filetitos-850g-830g-super-pollo-o-ariztia-s10-05032024.jpg,2024-03-08 17:45:10.754916
2,prime - queso mantecoso matthei trozo 500g $5.899 / precio ref.: $8.149 ,ofertas_principales,3,https://assets.jumbo.cl/uploads/2024/03/desktop-Home-JumboPrime-banner-02-Queso-mantecoso-Matthei-trozo-500g-s10-05032024.jpg,2024-03-08 17:45:10.754916
3,ciclos - pastas trattoria 400g $890c/u // precio ref.: $1.310 ,ofertas_principales,4,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-03-jo-pastas-trattoria-400g-s10-07032024.jpg,2024-03-08 17:45:10.754916
4,especial - banner generico colaciones con todas las ofertas (semana cuando no hay ciclo vigente) ,ofertas_principales,5,https://assets.jumbo.cl/uploads/2024/03/desktop-Home-Landing-Colaciones-banner-leche-colun-S10-05032024.jpg,2024-03-08 17:45:10.754916
5,especial - todas las ofertas especial limpieza ,ofertas_principales,6,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-06-especial-limpieza-todas-las-ofertas-s09-27022024.jpg,2024-03-08 17:45:10.754916
6,landing - ver todo utiles escolares  ,ofertas_principales,7,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-05-landing-utiles-escolares-s03-16012024.jpg,2024-03-08 17:45:10.754916
7,banner ppal proveedor - unilever ,ofertas_principales,8,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-07-proveedor-detergente-omo-ultra-power-s10-05032024.jpg,2024-03-08 17:45:10.754916
8,despachos,ofertas_principales,9,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-9-DespachosGratis-s10-0403022024.jpg,2024-03-08 17:45:10.754916
9,prime - salmon congelado ahumado en frio cuisine & co 100g o 200g 30%dcto. ,banner-categories-left,1,https://assets.jumbo.cl/uploads/2024/03/desktop-Home-JumboPrime-grillagrande-Salmon-congelado-ahumado-en-frio-Cuisine-Co-100g-o-200g-s10-05032024.jpg,2024-03-08 17:45:10.754916
10,prime - toda la vina miguel torres 40% descto ,double-image-content,2,https://assets.jumbo.cl/uploads/2024/02/desktop-Home-grillachica-VinaDelMes-Marzo-MiguelTorres-s09-01032024.jpg,2024-03-08 17:45:10.754916
11,prime - todas las cervezas kross 40% descto ,double-image-content,3,https://assets.jumbo.cl/uploads/2024/02/desktop-Home-grillachica-CervezaDelMes-Marzo-Kross-s09-01032024.jpg,2024-03-08 17:45:10.754916
12,especial exclusivo - especial ffvv,short-banner,4,https://assets.jumbo.cl/uploads/2024/03/desktop-home-huincha-especial-ffvv-uva-verde-pote-500g-s10-07032024.jpg,2024-03-08 17:45:10.754916
13,stradivarius,short-banner,5,https://assets.jumbo.cl/uploads/2024/03/desktop-home-huincha-stradivarius-s10-05032024.jpg,2024-03-08 17:45:10.754916
14,especial - todos los productos kirkland llego a jumbo  ,ofertas_final_pag,1,https://assets.jumbo.cl/uploads/2024/02/desktop-home-huincha-kirkland-26022024.jpg,2024-03-08 17:45:10.754916
15,landing proveedor - p&g ,ofertas_final_pag,2,https://assets.jumbo.cl/uploads/2024/02/2-desktop-landing-PYG-huincha-marcas-participantes-S10-05032024.jpg,2024-03-08 17:45:10.754916
16,https://assets.jumbo.cl/uploads/2024/01/desktop-cuadros,ofertas_final_pag,3,https://assets.jumbo.cl/uploads/2024/01/desktop-cuadros-destacados-home-recetas-12012024.jpg,2024-03-08 17:45:10.754916
17,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,4,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-importados-14112023.jpg,2024-03-08 17:45:10.754916
18,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,5,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-cuisineandco-14112023.jpg,2024-03-08 17:45:10.754916
19,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,6,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-bio-natura-14112023.jpg,2024-03-08 17:45:10.754916
20,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,7,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-nuestos-productores-14112023.jpg,2024-03-08 17:45:10.754916
21, ,ofertas_final_pag,8,https://assets.jumbo.cl/uploads/2024/03/2-desktop-home-carrusel-01-SW-minuto-verde-generico-s10-05032024.jpg,2024-03-08 17:45:10.754916
22, ,ofertas_final_pag,9,https://assets.jumbo.cl/uploads/2024/03/2-desktop-home-carrusel-02-SW-minuto-verde-premium-s10-05032024.jpg,2024-03-08 17:45:10.754916
23, ,ofertas_final_pag,10,https://assets.jumbo.cl/uploads/2024/03/2desktop-home-carrusel-03-SW-minuto-verde-papas-s10-05032024.jpg,2024-03-08 17:45:10.754916
24, ,ofertas_final_pag,11,https://assets.jumbo.cl/uploads/2024/03/3-desktop-home-carrusel-04-SW-minuto-verde-hamburguesas-s10-05032024.jpeg,2024-03-08 17:45:10.754916
25, ,ofertas_final_pag,12,https://assets.jumbo.cl/uploads/2024/02/desktop-home-carrusel-05-SW-minuto-verde-smooties-s10-05032024.jpg,2024-03-08 17:45:10.754916
26,proveedor huincha home - andina ,ofertas_final_pag,13,https://assets.jumbo.cl/uploads/2024/02/2-desktop-home-GrillaChica-proveedores-andina-del-valle-S08-20022024.jpg,2024-03-08 17:45:10.754916
27,proveedor huincha home - j&j ,ofertas_final_pag,14,https://assets.jumbo.cl/uploads/2024/03/desktop-home-GrillaChica-proveedores-JyJ-neutrogena-S10-050322024.jpg,2024-03-08 17:45:10.754916
28,proveedor huincha home - softys ,ofertas_final_pag,15,https://assets.jumbo.cl/uploads/2024/03/desktop-home-GrillaGrande-proveedores-softys-elite-S10-05032024.jpg,2024-03-08 17:45:10.754916
29,dove hasta 30% dcto.,ofertas_final_pag,16,https://assets.jumbo.cl/uploads/2024/03/desktop-home-vitrina-proveedores-unilever-dove-S10-05032024.jpg,2024-03-08 17:45:10.754916
