,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked
0,banner-0,ofertas_principales,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553015333-cltcvq4v96zul7rrgor48ac1q.jpg,2024-03-07 12:44:14.118474
1,banner-1,ofertas_principales,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709568989801-cltd58iuh7hdikqr5mrslq7dy.jpg,2024-03-07 12:44:14.118474
2,banner-2,ofertas_principales,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553109440-cltcvs5hc73y23srhr1k6e3om.jpg,2024-03-07 12:44:14.118474
3,banner-3,ofertas_principales,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553167117-cltcvtdzh6wxi6lrgh11cpqw3.jpg,2024-03-07 12:44:14.118474
4,banner-4,ofertas_principales,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553234380-cltcvutvw71b9kir52op4nv26.jpg,2024-03-07 12:44:14.118474
5,banner-5,ofertas_principales,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553303680-cltcvwbcw70z7ljr5ggiqw8c2.jpg,2024-03-07 12:44:14.118474
6,banner-6,ofertas_principales,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553380335-cltcvxyi771cw6srgvnnf79ox.jpg,2024-03-07 12:44:14.118474
7,grid2-desktop,grid_ofertas,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709575351937-cltd90vwh7ienljr5b2o03f84.jpg,2024-03-07 12:44:14.118474
8,grid3-desktop,grid_ofertas,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556562557-cltcxu5x96yhb3zrhsvzz045s.jpg,2024-03-07 12:44:14.118474
9,grid4-desktop,grid_ofertas,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556678097-cltcxwn2p78ogkqr5bcznvmbw.jpg,2024-03-07 12:44:14.118474
10,mi club-1,ofertas_final_pag,1,https://apps.lider.cl/landing/banners/lineBreakers/bottom/desktop/mcl-bts-vestuario-desktop-1705584540025.jpg,2024-03-07 12:44:14.118474
11,offers-1-2,ofertas_final_pag,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556792535-cltcxz3dj739z6lrggixqegf3.jpg,2024-03-07 12:44:14.118474
12,offers-1-3,ofertas_final_pag,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556855626-cltcy0g22761x7rrgf4wm5omx.jpg,2024-03-07 12:44:14.118474
13,blockimage-4,ofertas_final_pag,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553489023-cltcw0adb6n3r8grgceoivrap.jpg,2024-03-07 12:44:14.118474
14,blockimage-5,ofertas_final_pag,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553560405-cltcw1tg53wjdq4rg3vt2x90k.jpg,2024-03-07 12:44:14.118474
15,blockimage-6,ofertas_final_pag,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553618461-cltcw328t74tp3srhne49ilj2.jpg,2024-03-07 12:44:14.118474
16,blockimage-7,ofertas_final_pag,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553682131-cltcw4fdf708y4lrh58u3bssf.jpg,2024-03-07 12:44:14.118474
17,blockimage-8,ofertas_final_pag,8,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553743642-cltcw5qu26nel8grgpratcwiy.jpg,2024-03-07 12:44:14.118474
18,blockimage-9,ofertas_final_pag,9,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709562071760-cltd148uo7lig3lrhaq4yjrem.jpg,2024-03-07 12:44:14.118474
19,blockimage-10,ofertas_final_pag,10,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553815253-cltcw7a391mc949rht0xqtvl7.jpg,2024-03-07 12:44:14.118474
20,blockimage-11,ofertas_final_pag,11,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709568217777-cltd4rz5d7ezukir5cov4m0s7.jpg,2024-03-07 12:44:14.118474
