,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked
0,banner-0,ofertas_principales,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709760302132-cltgb50dwbmer4lrh4nypv96u.jpg,2024-03-07 10:38:07.339164
1,banner-1,ofertas_principales,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709760457773-cltgb8ch9bexu3zrh48ok0l69.jpg,2024-03-07 10:38:07.339164
2,banner-2,ofertas_principales,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709810311415-clth4wvsnccmtufr5s0yopd6i.jpg,2024-03-07 10:38:07.339164
3,banner-3,ofertas_principales,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709725810905-cltfqlqs9ahqj8grgynbybqmw.jpg,2024-03-07 10:38:07.339164
4,banner-4,ofertas_principales,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709726082501-cltfqrkcl0jpp9wrg6ovnzn5o.jpg,2024-03-07 10:38:07.339164
5,banner-5,ofertas_principales,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709726612107-cltfr2wzvb7rk7rrgbeogo66a.jpg,2024-03-07 10:38:07.339164
6,banner-6,ofertas_principales,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709734429181-cltfvqgot3kg457rhrf2mb5a3.jpg,2024-03-07 10:38:07.339164
7,banner-7,ofertas_principales,8,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761457762-cltgbts2q12nglcrgrua8c1ie.jpg,2024-03-07 10:38:07.339164
8,grid1-desktop,grid_ofertas,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709728765727-cltfsd2qn3hqkeqrgkpudp29i.jpg,2024-03-07 10:38:07.339164
9,grid2-desktop,grid_ofertas,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709735545820-cltfweeak5ul2zcr535nel1um.jpg,2024-03-07 10:38:07.339164
10,grid3-desktop,grid_ofertas,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709762624867-cltgcismbblpdkir5c1bm6vg6.jpg,2024-03-07 10:38:07.339164
11,grid4-desktop,grid_ofertas,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709729014977-cltfsif290nadlcrgrdonl6vd.jpg,2024-03-07 10:38:07.339164
12,line-breakers-top-desktop,grid_ofertas,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709642989678-cltedalim97dqljr5rskpuwky.jpg,2024-03-07 10:38:07.339164
13,bts libreria mcl-1,ofertas_final_pag,1,https://apps.lider.cl/landing/banners/lineBreakers/bottom/desktop/sod/rompefilas_bts_libreria_mcl_desktop-1704911819580.png,2024-03-07 10:38:07.339164
14,offers-1-2,ofertas_final_pag,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709763303208-cltgcxc14c0cz3lrhqs5zgfnr.jpg,2024-03-07 10:38:07.339164
15,offers-1-3,ofertas_final_pag,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709760776979-cltgbf6s32soiwkrh03sywica.jpg,2024-03-07 10:38:07.339164
16,blockimage-4,ofertas_final_pag,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761140824-cltgbmziw5rmtfqr5hjotlpe6.jpg,2024-03-07 10:38:07.339164
17,blockimage-5,ofertas_final_pag,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761255488-cltgbpg00bl3tkir5efuijviu.jpg,2024-03-07 10:38:07.339164
18,blockimage-6,ofertas_final_pag,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761393941-cltgbsetxbfco3zrh2wmbnr2b.jpg,2024-03-07 10:38:07.339164
19,blockimage-7,ofertas_final_pag,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761515521-cltgbv0n5b2joufr52tim6pkb.jpg,2024-03-07 10:38:07.339164
