,name_img,tipo_oferta,position,url_img,datetime_checked
0,lollapalooza ,ofertas_principales,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/4227a1bb-6e76-492c-bd39-83adc0d4b90f.webp,2024-03-05 19:20:15.866029
1,lo mejor de apple ,ofertas_principales,2,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/f62c350a-29bd-4368-8e22-03d2002f06b8.webp,2024-03-05 19:20:15.866029
2,hasta 50% perfumes grandes marcas,ofertas_principales,3,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/b913d071-cabc-4d7c-84a9-0c5e4dc4573b.webp,2024-03-05 19:20:15.866029
3,celulares,ofertas_principales,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/c8409174-1b01-46f7-bff9-caa25a1fbd46.webp,2024-03-05 19:20:15.866029
4,linea blanca ,ofertas_principales,5,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/9cf222d0-628b-441c-9339-87a98aaa8d8e.webp,2024-03-05 19:20:15.866029
5,notebook,ofertas_principales,6,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/9f57d0d8-73e2-45ce-8b77-f70f72cea126.webp,2024-03-05 19:20:15.866029
6,tv ,ofertas_principales,7,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/832f11ac-764a-420f-816f-b3229fbaa6dc.webp,2024-03-05 19:20:15.866029
7,colchones ,ofertas_principales,8,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/05bd7e28-d8f4-4ede-8dd0-8cb74de23728.webp,2024-03-05 19:20:15.866029
8,hasta 45% de descuento en consolas y videojuegos,grid_ofertas,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/0c72eaa7-625f-4e32-8cbb-9e41712f1aa9.webp,2024-03-05 19:20:15.866029
9,hasta 70% de descuento en muebles,grid_ofertas,2,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/6c0e1a3e-e890-46da-be0f-757406ea702e.webp,2024-03-05 19:20:15.866029
10,avance de temporada en calzado hombre mujer y ninos,grid_ofertas,3,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/a8dfbb5c-310b-428d-961e-e267bfae8c95.webp,2024-03-05 19:20:15.866029
11,divan black 1.5 plazas flex,grid_ofertas,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/efedd775-4fab-46f5-a8ee-f687791df999.webp,2024-03-05 19:20:15.866029
12,hasta 60% de descuento en ropa de cama,grid_ofertas,5,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/a0bea814-13ed-403c-b1d8-8ee1417386e2.webp,2024-03-05 19:20:15.866029
13,hasta 50% electrodomesticos,grid_ofertas,6,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/e9a798ce-8f7f-43ee-9360-7d31cf2711a2.webp,2024-03-05 19:20:15.866029
