,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,descuentos_promo,categorias_en_promo,marcas_en_promo,publico_objetivo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,telefonia,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb5f8aa61c1cae2a8/65f04ea7039fddccab335e7f/HH1-dk-telefonia-120424-mb.jpg,2024-03-12 11:25:49.618749,venta especial dia del electro,,,"['smartphones', 'samsung', 'xiaomi']","['samsung', 'xiaomi']","['tecnofilos', 'consumidores', 'independientes', 'activos', 'modernos']","[{'nombre_del_producto': 'samsung galaxy s23 256gb', 'precio_normal': 1099900, 'precio_oferta': 799900, 'descuento': '27%'}, {'nombre_del_producto': 'xiaomi poco f5 pro 256gb', 'precio_normal': 599900, 'precio_oferta': 479900, 'descuento': '20%'}, {'nombre_del_producto': 'samsung galaxy s21 5g 128gb', 'precio_normal': 469900, 'precio_oferta': 299900, 'descuento': '36%'}]",,,
1,apple week,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt6f9ebd51824126e5/65ef736c54369a1b306929b9/HH2-dk-appleweek-120324-MB.jpg,2024-03-12 11:25:49.618749,Hasta 12 cuotas sin interés en productos Apple seleccionados. ,,,"['iPhone', 'Apple Watch', 'Macbook']",['Apple'],"['tecnológico', 'sofisticado', 'moderno', 'urbano', 'independiente']","[{'nombre_del_producto': 'iPhone 15 Pro 256GB', 'precio_normal': '$1.349.990', 'precio_oferta': '$1.179.990', 'descuento': '12%'}, {'nombre_del_producto': 'Apple Watch S9 41mm', 'precio_normal': '$549.990', 'precio_oferta': '$399.990', 'descuento': '27%'}]",12.0,,
2,belleza f,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltbe946c37d582ef6d/65eb567f6a79de02ec143de0/HH2-dk-BellezaF-110424-PS.jpg,2024-03-12 11:25:49.618749,30% de descuento en productos seleccionados de cuidado para el cabello.,,30%,"['cuidado del cabello', 'belleza', 'mujer']","[""L'Oreal"", 'Redken', 'Kerastase']","['femenino', 'joven', 'moderno', 'urbano', 'independiente']",[],,,
3,moda mhn,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc8bcff1c9ced6714/65eb67b2fd4623686267de41/HH4-dk-vestuario-110324-gmc.jpg,2024-03-12 11:25:49.618749,nueva temporada en vestuario con 40% de descuento en productos seleccionados,,40%,"['nueva', 'temporada', 'vestuario']","['mango', 'basement', 'americano', 'levis', 'sybilla', 'masson', 'carters', 'yampi']","['moderno', 'urbano', 'casual', 'joven', 'fresco']",[],,,
4,rosen week,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt307bb12896775045/65f04968d326765c557e3d78/Camas-Rosen-HH5-dk-130324-NM.jpg,2024-03-12 11:25:49.618749,camas rosen con hasta 60% de descuento,,60%,"['camas', 'colchones', 'muebles']",['rosen'],"['adulto', 'independiente', 'soltero', 'pareja', 'familia']","[{'nombre_del_producto': 'cama ergo t 2 plazas bd + almohadas', 'precio_normal': 439900, 'precio_oferta': 299900, 'descuento': '32%'}, {'nombre_del_producto': 'cama art 4 2 plazas bd + muebles rachel', 'precio_normal': 1049900, 'precio_oferta': 619900, 'descuento': '41%'}]",,,
5,armani code,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta3990d7cd4ea34c6/65eb684d2850974f0c44e798/HH7-dk-armani-110324-ne.jpg,2024-03-12 11:25:49.618749,"armani code, fragancia masculina",,,"['perfumes', 'hombre', 'armani']",['Armani'],"['masculino', 'moderno', 'urbano', 'cosmopolita', 'elegante']",[],,,
6,computacion,ofertas_secundarias,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blteadca8036c46a06c/65f0400e173215e6bdd2a2fb/BH-01%E2%80%93computacion-120324-pb.jpg,2024-03-12 11:25:49.618749,"Notebook Gamer Victus AMD Ryzen 5 15,6"" a $549.990",,,"['notebooks', 'amd', 'gamer']",['hp'],"['gamer', 'joven', 'tecnico', 'moderno', 'dinamico']",[],10.0,,
7,smartwatches,ofertas_secundarias,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt87c845b18383b026/65f04b22a1e81556aed59dcb/BH-02%E2%80%93smartwatch-120324-pb.jpg,2024-03-12 11:25:49.618749,El reloj inteligente Huawei Watch GT 41mm está rebajado de $199.990 a $99.990. La oferta es válida hasta agotar stock.,,,"['relojes', 'tecnologia', 'deportes']",['Huawei'],"['deportista', 'moderno', 'urbano', 'tecnológico', 'saludable']","[{'nombre_del_producto': 'Huawei Watch GT 41mm', 'precio_normal': 199990, 'precio_oferta': 99990, 'descuento': '50%'}]",,,
8,video,ofertas_secundarias,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt91c66565d9db0e8c/65f0400e5fa1c62b314bb9a9/BH-03-video-120324-pb.jpg,2024-03-12 11:25:49.618749,"Hisense Smart TV 50"" 4K UHD a $249.990",,,"['tv', 'smart', '4k']",['hisense'],"['tecnofilo', 'gamer', 'amante del cine', 'buscador de ofertas', 'consumidor']",[],,,envio gratis
9,linea blanca ,ofertas_secundarias,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb65cc0431bbc4b39/65f0400ee55fcbf18b233698/BH-04-lineablanca-120324-pb.jpg,2024-03-12 11:25:49.618749,Hisense side by side 635 lts a $479.990,,,"['linea blanca', 'refrigeradores', 'hisense']",['hisense'],"['adulto', 'independiente', 'soltero', 'urbano', 'moderno']","[{'nombre_del_producto': 'Hisense side by side 635 lts', 'precio_normal': 829990, 'precio_oferta': 479990, 'descuento': '42%'}]",10.0,,
