,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,descuentos_promo,categorias_en_promo,marcas_en_promo,publico_objetivo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,chaquetas crop ,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt17ea21b127334b76/6613ede27cacdc59d5d49b46/Chaquetas-vitrina1-dk-0804-ne.jpg,01:12.3,Lo último en chaquetas crop. Primero en Falabella.,,,"['chaquetas', 'crop', 'tendencia']",,"['femenino', 'moderno', 'urbano', 'joven', 'independiente']",[],,,
1,beauty treends,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt12c00396a305b3a1/6613ed46470f713b5a615708/Belleza-HH02-dk-080424-IR.jpg,01:12.3,lo último en beauty trends,,,"['belleza', 'maquillaje', 'cosmeticos']","['carolina herrera', 'estee lauder', 'ralph lauren', 'benefit']","['femenino', 'joven', 'moderno', 'urbano', 'independiente']",[],,,
2,iphone ,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd7612919717e8a4d/66145f422b98e929f0100dbf/Iphone-HH03-dk-050424-PA.png,01:12.3,iphone 12 con 12 cuotas sin interes,,,"['telefonia', 'apple', 'iphone']",['apple'],"['tecnofilo', 'consumista', 'independiente', 'urbano', 'joven']","[{'nombre_del_producto': 'iPhone 12 128GB', 'precio_normal': 1469900, 'precio_oferta': 1229900, 'descuento': '16%'}, {'nombre_del_producto': 'iPhone 12 256GB', 'precio_normal': 1629900, 'precio_oferta': 1349900, 'descuento': '17%'}]",12,,
3,linea blanca mabe,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltaceddd509c9e2b6d/661545386a0aadfe7cd4e600/LineaBlanca-Mabe-HH04-dk-080424-NM.jpg,01:12.3,cocina a gas mabe 5 quemadores $289.990,,,"['cocina', 'electrodomésticos', 'hogar']",['mabe'],"['moderno', 'urbano', 'independiente', 'soltero', 'trabajador']","[{'nombre_del_producto': 'cocina a gas mabe 5 quemadores', 'precio_normal': 489.99, 'precio_oferta': 289.99, 'descuento': '41%'}, {'nombre_del_producto': 'refrigerador mabe no frost 250lt', 'precio_normal': 489.99, 'precio_oferta': 279.99, 'descuento': '43%'}]",,,"{'costo_envio': 'envío gratis', 'condicion_envio': 'sin condiciones'}"
4,computacion hp,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf38faea5954ef1bb/6614672b1a0e490c53abc9ab/HPweek-HH05-dk-080424-NM.jpg,01:12.3,tu proximo hp al mejor precio y potenciado con el mejor procesador,,,"['notebooks', 'gamer', 'tecnologia']","['hp', 'intel', 'nvidia']","['gamer', 'techie', 'joven', 'tecnofilo', 'activo']","[{'nombre_del_producto': 'hp gamer victus nvidia rtx 2050 fhd 15.6', 'precio_normal': '$799.990', 'precio_oferta': '$599.990', 'descuento': '25%'}, {'nombre_del_producto': 'hp omen nvidia rtx 4070 fhd 16.1', 'precio_normal': '$2.199.990', 'precio_oferta': '$2.099.990', 'descuento': '5%'}]",,,
5,colchones 50%,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blte389a5c52d22297e/66102071128e513940e9bc34/Colchonazo-HH06-dk-080424-NM.jpg,01:12.3,50% de descuento en colchones seleccionados,,50%,"['colchones', 'camas', 'descanso']","['rosen', 'cic', 'flex', 'celta']","['adultos', 'independientes', 'solteros', 'casados', 'familias']",[],,,
6,perfume shakira ,ofertas_principales,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf8c895b7c0606e16/66102bda1a0e49a6d7abbbea/Shakira-dk-vitrina7-080424-ne.jpg,01:12.3,nuevo perfume fucsia de shakira,,,"['perfumes', 'cosmeticos', 'belleza']",['shakira'],"['femenino', 'moderno', 'sensual', 'audaz', 'sofisticado']",[],,,
7,adidas terrace gazelle ,grid_ofertas,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0ccd396aa6a5566b/66140e0c0d99451f30032356/GAZELLE-MC1-1-dk-080424-ne.jpg,01:12.3,zapatillas adidas gazelle a precio rebajado,,,"['zapatillas', 'moda', 'deportes']","['adidas', 'reebok']","['joven', 'moderno', 'urbano', 'deportivo', 'casual']",[],,,
8,vestuario - sweaters y polerones mujer y hombre,grid_ofertas,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0c467ff13a463fe3/661018e6da0c3a7c56f764e1/Vestuario-MC1-2-dk-080424-CS.jpg,01:12.3,30% de descuento en sweaters y polerones seleccionados.,,30%,"['moda', 'invierno', 'casual']","['basement university', 'americano']","['juvenil', 'moderno', 'urbano', 'casual', 'activo']",[],,,
9,mundo bebe 50%dcto,grid_ofertas,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt04d7a4e26c55f5fc/661022922b98e9cf8a0fff9b/Babyetapas-MC1-3-dk-080424-jr.jpg,01:12.3,50% de descuento en productos seleccionados,,50%,"['coche', 'cuna', 'silla']","['bebesit', 'infanti', 'bebeglo']","['embarazada', 'madre', 'padre', 'familia', 'bebé']",[],,,
