,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,especial - todas las ofertas mdeg carnes ,ofertas_principales,1,https://assets.jumbo.cl/uploads/2024/03/4-desktop-home-carnes-banner-01-generico-07032024.jpg,2024-03-08 14:09:22.065294,"Hasta 30% de descuento en carnes, pollo y cerdo","Personas que buscan comprar carnes, pollo o cerdo a buen precio","['carnes', 'pollo', 'cerdo']",,[],,,
1,bombazo exclusivo ecomm - filetito o pechuga deshuesada super pollo o ariztia 830/850 grs $4.990 (p.ref. $6.590) ,ofertas_principales,2,https://assets.jumbo.cl/uploads/2024/03/1-desktop-home-banner-01-bombazo-mercado-carnes-pechuga-deshuesada-o-filetitos-850g-830g-super-pollo-o-ariztia-s10-05032024.jpg,2024-03-08 14:09:22.065294,pechuga deshuesada o filetitos a $4.990 el kilo,personas que buscan comprar carne de pollo a buen precio,"['carnes', 'pollo', 'pechuga']","['super pollo', 'ariztia']","[{'nombre_del_producto': 'pechuga deshuesada', 'precio_normal': '$6.590', 'precio_oferta': '$4.990', 'descuento': '25%'}]",,,
2,prime - queso mantecoso matthei trozo 500g $5.899 / precio ref.: $8.149 ,ofertas_principales,3,https://assets.jumbo.cl/uploads/2024/03/desktop-Home-JumboPrime-banner-02-Queso-mantecoso-Matthei-trozo-500g-s10-05032024.jpg,2024-03-08 14:09:22.065294,Queso mantecoso Matthei trozo 500g a $5.899,Amantes del queso,"['Lacteos', 'Quesos', 'Untables']",['Matthei'],"[{'nombre_del_producto': 'Queso mantecoso Matthei trozo 500g', 'precio_normal': '$8.149', 'precio_oferta': '$5.899', 'descuento': '28%'}]",,,
3,ciclos - pastas trattoria 400g $890c/u // precio ref.: $1.310 ,ofertas_principales,4,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-03-jo-pastas-trattoria-400g-s10-07032024.jpg,2024-03-08 14:09:22.065294,3x2 en pastas Trattoria de 400 gramos. Precio normal: $1.310 c/u,Personas que buscan ahorrar en la compra de pastas.,"['Pastas', 'Fideos', 'Tallarines']",['Trattoria'],"[{'nombre_del_producto': 'Pastas Trattoria 400 gramos', 'precio_normal': '$1.310', 'precio_oferta': '$890', 'descuento': '33%'}]",,,
4,especial - banner generico colaciones con todas las ofertas (semana cuando no hay ciclo vigente) ,ofertas_principales,5,https://assets.jumbo.cl/uploads/2024/03/desktop-Home-Landing-Colaciones-banner-leche-colun-S10-05032024.jpg,2024-03-08 14:09:22.065294,6 unidades de leche Colun sabor a elección a $2.400,Familias,"['Lacteos', 'Bebidas', 'Desayuno']",['Colun'],"[{'nombre_del_producto': 'Leche Colun Entera', 'precio_normal': '$599', 'precio_oferta': '$2.400', 'descuento': '60%'}, {'nombre_del_producto': 'Leche Colun Light', 'precio_normal': '$599', 'precio_oferta': '$2.400', 'descuento': '60%'}, {'nombre_del_producto': 'Leche Colun Deslactosada', 'precio_normal': '$599', 'precio_oferta': '$2.700', 'descuento': '55%'}, {'nombre_del_producto': 'Leche Colun sabor Chocolate', 'precio_normal': '$599', 'precio_oferta': '$2.700', 'descuento': '55%'}, {'nombre_del_producto': 'Leche Colun sabor Manjar', 'precio_normal': '$599', 'precio_oferta': '$2.700', 'descuento': '55%'}, {'nombre_del_producto': 'Leche Colun sabor Frutilla', 'precio_normal': '$599', 'precio_oferta': '$2.700', 'descuento': '55%'}]",,,
5,especial - todas las ofertas especial limpieza ,ofertas_principales,6,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-06-especial-limpieza-todas-las-ofertas-s09-27022024.jpg,2024-03-08 14:09:22.065294,Hasta 45% de descuento en productos de limpieza seleccionados,Personas que buscan productos de limpieza para el hogar,"['limpieza', 'hogar', 'cuidado personal']","['Drive', 'Cif', 'Quix']","[{'nombre_del_producto': 'Drive Lavavajillas Evolution Gel 3L', 'precio_normal': '$10.000', 'precio_oferta': '$8.000', 'descuento': '20%'}, {'nombre_del_producto': 'Cif Limpiador Original 500ml', 'precio_normal': '$5.000', 'precio_oferta': '$4.000', 'descuento': '10%'}, {'nombre_del_producto': 'Quix Limpiador Multiuso 3L', 'precio_normal': '$12.000', 'precio_oferta': '$10.000', 'descuento': '15%'}]",,,
6,landing - ver todo utiles escolares  ,ofertas_principales,7,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-05-landing-utiles-escolares-s03-16012024.jpg,2024-03-08 14:09:22.065294,Hasta 30% de descuento en mochilas y útiles,Niños y adolescentes que vuelven al colegio,"['Vuelta', 'Cole', 'Mochila']",,[],,,
7,banner ppal proveedor - unilever ,ofertas_principales,8,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-07-proveedor-detergente-omo-ultra-power-s10-05032024.jpg,2024-03-08 14:09:22.065294,,,,,,,,
8,despachos,ofertas_principales,9,https://assets.jumbo.cl/uploads/2024/02/desktop-home-banner-9-DespachosGratis-s10-0403022024.jpg,2024-03-08 14:09:22.065294,Despacho gratis en compras sobre $10.000,Padres y madres primerizos,"['Proteínas', 'Bebés', 'Cuidado del cabello']","['Wild Protein', 'Babyssec', 'Virutex']",[],,,
9,prime - salmon congelado ahumado en frio cuisine & co 100g o 200g 30%dcto. ,banner-categories-left,1,https://assets.jumbo.cl/uploads/2024/03/desktop-Home-JumboPrime-grillagrande-Salmon-congelado-ahumado-en-frio-Cuisine-Co-100g-o-200g-s10-05032024.jpg,2024-03-08 14:09:22.065294,30% de descuento en salmón congelado ahumado en frío Cuisine & Co 100g o 200g,Personas que buscan productos del mar de calidad a buen precio,"['Pescados', 'Mariscos', 'Congelados']",['Cuisine & Co'],"[{'nombre_del_producto': 'Salmón congelado ahumado en frío Cuisine & Co 100g', 'precio_normal': '$10.000', 'precio_oferta': '$7.000', 'descuento': '30%'}, {'nombre_del_producto': 'Salmón congelado ahumado en frío Cuisine & Co 200g', 'precio_normal': '$20.000', 'precio_oferta': '$14.000', 'descuento': '30%'}]",,,
