,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,banner-0,ofertas_principales,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553015333-cltcvq4v96zul7rrgor48ac1q.jpg,2024-03-07 12:44:14.118474,"vuelta a clases con precios bajos en mochilas, sillas gamer y útiles escolares",,"['escolar', 'juvenil', 'moderno', 'dinámico', 'activo']","['vuelta', 'clases', 'precios bajos']","['totto', 'novahus']","[{'nombre_del_producto': 'mochila totto', 'precio_normal': 21690, 'precio_oferta': 6990, 'descuento': '68%'}, {'nombre_del_producto': 'silla gamer novahus', 'precio_normal': 216990, 'precio_oferta': 59990, 'descuento': '72%'}]",,,
1,banner-1,ofertas_principales,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709568989801-cltd58iuh7hdikqr5mrslq7dy.jpg,2024-03-07 12:44:14.118474,Hasta $350.000 de descuento en notebooks Asus,,"['tecnofilos', 'jugadores', 'estudiantes', 'profesionales', 'amantes de la tecnologia']","['notebooks', 'asus', 'tecnologia']",['asus'],"[{'nombre_del_producto': 'Asus TUF Gaming F15', 'precio_normal': '$999.990', 'precio_oferta': '$599.990', 'descuento': '40%'}, {'nombre_del_producto': 'Asus Notebook E1404FA-NKT178W', 'precio_normal': '$649.990', 'precio_oferta': '$309.990', 'descuento': '52%'}, {'nombre_del_producto': 'Asus ROG Strix G15', 'precio_normal': '$1.399.990', 'precio_oferta': '$1.099.990', 'descuento': '22%'}]",,,Despacho gratis en productos seleccionados
2,banner-2,ofertas_principales,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553109440-cltcvs5hc73y23srhr1k6e3om.jpg,2024-03-07 12:44:14.118474,hasta 43% dcto en tv smart 4k,,"['amante', 'series', 'peliculas', 'videojuegos', 'deportes']","['tv', 'smart', '4k']","['samsung', 'philips', 'caixun']","[{'nombre_del_producto': 'smart tv 58"" samsung 4k uhd', 'precio_normal': 599.99, 'precio_oferta': 339.99, 'descuento': '43%'}, {'nombre_del_producto': 'smart tv 43"" philips fhd', 'precio_normal': 289.99, 'precio_oferta': 154.99, 'descuento': '46%'}, {'nombre_del_producto': 'smart tv 43"" philips crystal uhd', 'precio_normal': 359.99, 'precio_oferta': 219.99, 'descuento': '39%'}]",,,
3,banner-3,ofertas_principales,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553167117-cltcvtdzh6wxi6lrgh11cpqw3.jpg,2024-03-07 12:44:14.118474,,,,,,,,,
4,banner-4,ofertas_principales,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553234380-cltcvutvw71b9kir52op4nv26.jpg,2024-03-07 12:44:14.118474,,,,,,,,,
5,banner-5,ofertas_principales,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553303680-cltcvwbcw70z7ljr5ggiqw8c2.jpg,2024-03-07 12:44:14.118474,hasta 30% de descuento en muebles,,"['adulto', 'independiente', 'moderno', 'urbano', 'trabajador']","['muebles', 'sillones', 'mesas']","['mainstays', 'daniels']","[{'nombre_del_producto': 'sillon sweet hogar', 'precio_normal': 350000, 'precio_oferta': 299900, 'descuento': '15%'}, {'nombre_del_producto': 'sillon relax daniels', 'precio_normal': 350000, 'precio_oferta': 299900, 'descuento': '15%'}, {'nombre_del_producto': 'juego living 3 sillas mainstays', 'precio_normal': 419900, 'precio_oferta': 199900, 'descuento': '52%'}, {'nombre_del_producto': 'comedor 4 sillas sweet hogar', 'precio_normal': 299900, 'precio_oferta': 199900, 'descuento': '33%'}]",,,
6,banner-6,ofertas_principales,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553380335-cltcvxyi771cw6srgvnnf79ox.jpg,2024-03-07 12:44:14.118474,ahorra hasta $175.000 en productos LG,,"['moderno', 'tecnológico', 'minimalista', 'urbano', 'joven']","['linea blanca', 'electrodomesticos', 'cocina']",['lg'],"[{'nombre_del_producto': 'lavadora carga frontal 12 kg lg', 'precio_normal': '$349.990', 'precio_oferta': '$234.990', 'descuento': '32%'}, {'nombre_del_producto': 'refrigerador no frost top freezer lg', 'precio_normal': '$379.990', 'precio_oferta': '$249.990', 'descuento': '34%'}, {'nombre_del_producto': 'lavadora carga superior 13 kg lg', 'precio_normal': '$249.990', 'precio_oferta': '$159.990', 'descuento': '35%'}]",,,despacho gratis en productos seleccionados
7,grid2-desktop,grid_ofertas,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709575351937-cltd90vwh7ienljr5b2o03f84.jpg,2024-03-07 12:44:14.118474,microondas + cafetera,,"['amante', 'cafe', 'cocina', 'hogar', 'moderno']","['electrohogar', 'cocina', 'cafe']","['easyways', 'versus', 'trotter', 'krups']","[{'nombre_del_producto': 'microondas easyways', 'precio_normal': 59.99, 'precio_oferta': 54.99, 'descuento': '8%'}, {'nombre_del_producto': 'cafetera krups', 'precio_normal': 159.99, 'precio_oferta': 139.99, 'descuento': '12%'}]",,,
8,grid3-desktop,grid_ofertas,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556562557-cltcxu5x96yhb3zrhsvzz045s.jpg,2024-03-07 12:44:14.118474,neumaticos y accesorios para el automovil,,"['masculino', 'adulto', 'trabajador', 'activo', 'moderno']","['neumaticos', 'accesorios', 'automovil']","['maxxtrek', 'good year', 'black and decker']",[],,,
9,grid4-desktop,grid_ofertas,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556678097-cltcxwn2p78ogkqr5bcznvmbw.jpg,2024-03-07 12:44:14.118474,hasta 30% off en indumentaria deportiva y fitness,,"['deportista', 'activo', 'saludable', 'moderno', 'urbano']","['deporte', 'fitness', 'bienestar']","['fitmax', 'lider']",[],,,
10,mi club-1,ofertas_final_pag,1,https://apps.lider.cl/landing/banners/lineBreakers/bottom/desktop/mcl-bts-vestuario-desktop-1705584540025.jpg,2024-03-07 12:44:14.118474,vestuario y calzado escolar con hasta 40% de descuento,,"['escolar', 'joven', 'moderno', 'urbano', 'dinámico']","['vestuario', 'calzado', 'escolar']",,[],,,
11,offers-1-2,ofertas_final_pag,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556792535-cltcxz3dj739z6lrggixqegf3.jpg,2024-03-07 12:44:14.118474,Organización y Logia desde $6.990,,"['ordenado', 'limpio', 'detallista', 'amante del orden', 'organizado']","['hogar', 'orden', 'limpieza']",,[],,,
12,offers-1-3,ofertas_final_pag,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709556855626-cltcy0g22761x7rrgf4wm5omx.jpg,2024-03-07 12:44:14.118474,llevatelo a precio bajo,,"['escolar', 'estudiante', 'joven', 'ahorrador', 'familia']","['vuelta', 'clases', 'escolar']",['filgo'],"[{'nombre_del_producto': 'Lapicera Filgo Fast Track', 'precio_normal': 13990, 'precio_oferta': 8490, 'descuento': '39%'}]",,,
13,blockimage-4,ofertas_final_pag,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553489023-cltcw0adb6n3r8grgceoivrap.jpg,2024-03-07 12:44:14.118474,especial barbie,,"['femenino', 'infantil', 'moderno', 'divertido', 'alegre']","['juguetes', 'ninas', 'barbie']",['barbie'],[],,,
14,blockimage-5,ofertas_final_pag,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553560405-cltcw1tg53wjdq4rg3vt2x90k.jpg,2024-03-07 12:44:14.118474,"{'titulo': 'Taladro Inalámbrico Einhell', 'descripcion': 'Taladro Inalámbrico Einhell + 2 Baterías + Cargador + Maletín', 'precio_normal': 233990, 'precio_oferta': 99990, 'descuento': '56%'}",,"['masculino', 'adulto', 'trabajador', 'manual', 'hábil']","['herramientas', '電動工具', 'taladros']",['Einhell'],[],,,
15,blockimage-6,ofertas_final_pag,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553618461-cltcw328t74tp3srhne49ilj2.jpg,2024-03-07 12:44:14.118474,parlantes inalambricos bose con un 25% de descuento,,"['amante', 'musica', 'tecnologia', 'calidad', 'moderno']","['parlantes', 'sonido', 'inalambricos']",['bose'],"[{'nombre_del_producto': 'parlante inalambrico bose s1 pro', 'precio_normal': 899900, 'precio_oferta': 679990, 'descuento': '25%'}]",,,
16,blockimage-7,ofertas_final_pag,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553682131-cltcw4fdf708y4lrh58u3bssf.jpg,2024-03-07 12:44:14.118474,5g nutrition creatina monohidrato en polvo saborizado 30 servicios desde $9.990,,"['deportista', 'saludable', 'activo', 'fitness', 'bienestar']","['suplementos', 'vitaminas', 'bienestar']",['5g nutrition'],[],,,
17,blockimage-8,ofertas_final_pag,8,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553743642-cltcw5qu26nel8grgpratcwiy.jpg,2024-03-07 12:44:14.118474,puerta de seguridad glow up a mitad de precio,,"['joven', 'moderno', 'urbano', 'activo', 'independiente']","['seguridad', 'bebes', 'hogar']",['glow up'],[],,,
18,blockimage-9,ofertas_final_pag,9,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709562071760-cltd148uo7lig3lrhaq4yjrem.jpg,2024-03-07 12:44:14.118474,mes del vino,,"['adultos', 'amantes del vino', 'gourmets', 'exigentes', 'sofisticados']","['bebidas', 'vinos', 'gourmet']",,[],,,
19,blockimage-10,ofertas_final_pag,10,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709553815253-cltcw7a391mc949rht0xqtvl7.jpg,2024-03-07 12:44:14.118474,escritorios desde $35.990,,"['estudiante', 'trabajador', 'hogar', 'oficina', 'computacion']","['escritorio', 'oficina', 'computacion']","['haus', 'mainstays']",[],,,
20,blockimage-11,ofertas_final_pag,11,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709568217777-cltd4rz5d7ezukir5cov4m0s7.jpg,2024-03-07 12:44:14.118474,accesorios para mascotas con hasta 30.000 pesos de descuento,,"['amante', 'mascotas', 'perros', 'cachorros', 'jugueton']","['mascotas', 'perros', 'accesorios']",,[],,,
