,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,banner-0,ofertas_principales,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709760302132-cltgb50dwbmer4lrh4nypv96u.jpg,38:07.3,lleva 2 vinos diablo a solo $11.990,,"['mayor', 'edad', 'festivo', 'celebracion', 'adulto']","['licores', 'vinos', 'bebidas']","['diablo', 'alto carmen']","[{'nombre_del_producto': 'vino diablo', 'precio_normal': '$7.390', 'precio_oferta': '$5.990', 'descuento': '20%'}, {'nombre_del_producto': 'pisco alto del carmen 40º etiqueta blanca', 'precio_normal': '$4.700', 'precio_oferta': '$3.590', 'descuento': '24%'}]",,,
1,banner-1,ofertas_principales,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709760457773-cltgb8ch9bexu3zrh48ok0l69.jpg,38:07.3,cervezas corona y royal guard con hasta 30% de descuento,,"['adultos', 'festeros', 'masculino', 'femenino', 'independiente']","['bebidas', 'alcohól', 'cervezas']","['corona', 'royal guard']","[{'nombre_del_producto': 'cerveza corona 4.5%', 'precio_normal': 691, 'precio_oferta': 555, 'descuento': '20%'}, {'nombre_del_producto': 'cerveza royal guard 5%', 'precio_normal': 555, 'precio_oferta': 555, 'descuento': '0%'}]",,,
2,banner-2,ofertas_principales,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709810311415-clth4wvsnccmtufr5s0yopd6i.jpg,38:07.3,"OMO, Limpieza y Cuidado para tu ropa",,"['Femenino', 'Ahorrador', 'Práctico', 'Hogareño', 'Veraniego']","['Cuidado Ropa', 'Limpieza', 'Verano']",['OMO'],"[{'nombre_del_producto': 'OMO Multiaccion', 'precio_normal': '$6.390', 'precio_oferta': '$3.390', 'descuento': '47%'}, {'nombre_del_producto': 'OMO Lavanda', 'precio_normal': '$6.390', 'precio_oferta': '$3.390', 'descuento': '47%'}, {'nombre_del_producto': 'OMO Aloe Vera', 'precio_normal': '$6.390', 'precio_oferta': '$3.390', 'descuento': '47%'}, {'nombre_del_producto': 'OMO Ultra Poder', 'precio_normal': '$7.290', 'precio_oferta': '$3.790', 'descuento': '48%'}, {'nombre_del_producto': 'OMO Ultra Poder', 'precio_normal': '$13.990', 'precio_oferta': '$6.690', 'descuento': '52%'}]",,,
3,banner-3,ofertas_principales,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709725810905-cltfqlqs9ahqj8grgynbybqmw.jpg,38:07.3,lleva 7 productos de limpieza y cuidado personal a solo $1000,,"['limpio', 'ordenado', 'ahorrativo', 'familiar', 'amante de las mascotas']","['limpieza', 'hogar', 'cuidado personal']","['cif', 'omo', 'soft', 'confort', 'quix', 'rins', 'drive']","[{'nombre_del_producto': 'cif crema', 'precio_normal': 650, 'precio_oferta': 450, 'descuento': '30%'}, {'nombre_del_producto': 'omo', 'precio_normal': 950, 'precio_oferta': 680, 'descuento': '28%'}, {'nombre_del_producto': 'soft', 'precio_normal': 1200, 'precio_oferta': 900, 'descuento': '25%'}, {'nombre_del_producto': 'confort', 'precio_normal': 750, 'precio_oferta': 450, 'descuento': '40%'}, {'nombre_del_producto': 'quix', 'precio_normal': 900, 'precio_oferta': 480, 'descuento': '47%'}, {'nombre_del_producto': 'rins', 'precio_normal': 750, 'precio_oferta': 700, 'descuento': '7%'}, {'nombre_del_producto': 'drive', 'precio_normal': 550, 'precio_oferta': 400, 'descuento': '27%'}]",,,
4,banner-4,ofertas_principales,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709726082501-cltfqrkcl0jpp9wrg6ovnzn5o.jpg,38:07.3,"Productos de cuidado personal, belleza y cuidado del hogar a $1.000",,"['Femenino', 'Masculino', 'Adultos', 'Jóvenes', 'Cuidado personal']","['Cuidado personal', 'Belleza', 'Cuidado del hogar']","['Rexona', 'Dove', 'Sensacy', 'Peptodent', 'Axe']","[{'nombre_del_producto': 'Rexona Clinical Antitranspirante Aerosol', 'precio_normal': '$4.290', 'precio_oferta': '$3.490', 'descuento': '19%'}, {'nombre_del_producto': 'Rexona XTRA Whitening Aerosol', 'precio_normal': '$4.290', 'precio_oferta': '$3.490', 'descuento': '19%'}, {'nombre_del_producto': 'Axe Dark Temptation Aerosol', 'precio_normal': '$4.290', 'precio_oferta': '$3.490', 'descuento': '19%'}, {'nombre_del_producto': 'Dove Original Shampoo', 'precio_normal': '$3.290', 'precio_oferta': '$2.590', 'descuento': '21%'}, {'nombre_del_producto': 'Dove Regeneración Shampoo', 'precio_normal': '$3.290', 'precio_oferta': '$2.590', 'descuento': '21%'}, {'nombre_del_producto': 'Le Sancy Aceite de Almendras Jabón Líquido', 'precio_normal': '$1.490', 'precio_oferta': '$990', 'descuento': '33%'}, {'nombre_del_producto': 'Peptodent Encías Blanqueadoras', 'precio_normal': '$1.990', 'precio_oferta': '$1.390', 'descuento': '30%'}]",,,
5,banner-5,ofertas_principales,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709726612107-cltfr2wzvb7rk7rrgbeogo66a.jpg,38:07.3,lleva 3 productos por menos de $3.000,,"['limpio', 'ahorrador', 'maternal', 'familiar', 'responsable']","['limpieza', 'cuidado personal', 'bebé']","['elite', 'nov', 'confort', 'babysec']","[{'nombre_del_producto': 'papel higienico elite humectante', 'precio_normal': 1490, 'precio_oferta': 700, 'descuento': '53%'}, {'nombre_del_producto': 'toallas nova clasica', 'precio_normal': 1290, 'precio_oferta': 1000, 'descuento': '22%'}, {'nombre_del_producto': 'pañales babysec premium', 'precio_normal': 3990, 'precio_oferta': 3000, 'descuento': '25%'}]",,,
6,banner-6,ofertas_principales,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709734429181-cltfvqgot3kg457rhrf2mb5a3.jpg,38:07.3,vuelta a clases con minions,,"['infantil', 'divertido', 'dinamico', 'alegre', 'activo']","['cereales', 'desayuno', 'ninos']",['nestle'],"[{'nombre_del_producto': 'cereal chocapic sin azucar adicionada 720g', 'precio_normal': 5890, 'precio_oferta': 4290, 'descuento': '27%'}]",,,
7,banner-7,ofertas_principales,8,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761457762-cltgbts2q12nglcrgrua8c1ie.jpg,38:07.3,NIDO semidescremada a $6.650,,"['maternal', 'familiar', 'saludable', 'natural', 'activo']","['leches', 'bebidas', 'alimentos']",['Nestle'],"[{'nombre_del_producto': 'NIDO Kinder 1+ semidescremada', 'precio_normal': '$7.690', 'precio_oferta': '$6.650', 'descuento': '13%'}, {'nombre_del_producto': 'NIDO Kinder 3+ semidescremada', 'precio_normal': '$7.690', 'precio_oferta': '$6.650', 'descuento': '13%'}, {'nombre_del_producto': 'NIDO Kinder 3+ sin lactosa', 'precio_normal': '$7.690', 'precio_oferta': '$6.650', 'descuento': '13%'}]",,,
8,grid1-desktop,grid_ofertas,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709728765727-cltfsd2qn3hqkeqrgkpudp29i.jpg,38:07.3,3 productos Hellmann's por $1000,,"['familiar', 'amante de las hamburguesas', 'cocineros', 'adultos', 'joven']","['aderezos', 'salsas', 'mayonesa']","[""hellmann's""]","[{'nombre_del_producto': ""Ketchup Hellmann's"", 'precio_normal': '$280', 'precio_oferta': '$200', 'descuento': '29%'}, {'nombre_del_producto': ""Mayonesa Hellmann's"", 'precio_normal': '$330', 'precio_oferta': '300', 'descuento': '9%'}, {'nombre_del_producto': ""Mayonesa Hellmann's Vegana"", 'precio_normal': '$350', 'precio_oferta': '$233', 'descuento': '33%'}]",,,
9,grid2-desktop,grid_ofertas,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709735545820-cltfweeak5ul2zcr535nel1um.jpg,38:07.3,lleva todo lo que necesitas para el cuidado bucal a un precio increible,,"['adultos', 'familias', 'personas preocupadas por su salud bucal', 'personas que buscan ahorrar', 'personas que buscan productos de calidad']","['cuidado bucal', 'colgate', 'limpieza dental']",['colgate'],"[{'nombre_del_producto': 'colgate total 12 enjuague bucal menta', 'precio_normal': '$2.990', 'precio_oferta': '$2.000', 'descuento': '33%'}, {'nombre_del_producto': 'colgate total 12 pasta dental menta', 'precio_normal': '$2.490', 'precio_oferta': '$1.500', 'descuento': '40%'}, {'nombre_del_producto': 'colgate total 12 cepillo dental suave', 'precio_normal': '$1.990', 'precio_oferta': '$1.000', 'descuento': '50%'}]",,,
