,name_img,tipo_oferta,position,url_img,datetime_checked,descripcion_promo,duracion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,lollapalooza ,ofertas_principales,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/4227a1bb-6e76-492c-bd39-83adc0d4b90f.webp,2024-03-05 19:20:15.866029,viste como la musica te haga sentir,,"['joven', 'moderno', 'femenino', 'urbano', 'casual']","['ropa', 'mujer', 'jeans']","['paris', 'lollapalooza']",[],,,
1,lo mejor de apple ,ofertas_principales,2,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/f62c350a-29bd-4368-8e22-03d2002f06b8.webp,2024-03-05 19:20:15.866029,Hasta 30% de descuento en productos Apple,,"['tecnofilo', 'consumista', 'independiente', 'urbano', 'joven']","['apple', 'computadores', 'celulares']",['apple'],"[{'nombre_del_producto': 'MacBook Air M1 256GB', 'precio_normal': 1399900, 'precio_oferta': 749900, 'descuento': '47%'}, {'nombre_del_producto': 'iPad 9na 64GB', 'precio_normal': 449900, 'precio_oferta': 339900, 'descuento': '25%'}, {'nombre_del_producto': 'iPhone 13 128GB', 'precio_normal': 869900, 'precio_oferta': 639900, 'descuento': '27%'}, {'nombre_del_producto': 'AirPods 2da Generacion', 'precio_normal': 179900, 'precio_oferta': 119900, 'descuento': '33%'}]",10.0,,
2,hasta 50% perfumes grandes marcas,ofertas_principales,3,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/b913d071-cabc-4d7c-84a9-0c5e4dc4573b.webp,2024-03-05 19:20:15.866029,50% de descuento en perfumes de grandes marcas,,"['femenino', 'moderno', 'urbano', 'independiente', 'sofisticado']","['perfumes', 'mujer', 'belleza']","['caシャレl', 'moschino', 'ralph lauren', 'giorgio armani', 'carolina herrera', 'lancome']","[{'nombre_del_producto': 'amor amor mujer', 'precio_normal': '$45.990', 'precio_oferta': '$18.990', 'descuento': '59%'}]",,,
3,celulares,ofertas_principales,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/c8409174-1b01-46f7-bff9-caa25a1fbd46.webp,2024-03-05 19:20:15.866029,compra en paris y retira gratis en tienda,,"['tecnofilo', 'consumidor', 'joven', 'adulto', 'independiente']","['telefonia', 'tecnologia', 'accesorios']","['samsung', 'xiaomi', 'motorola']","[{'nombre_del_producto': 'samsung galaxy s24 128gb + galaxy buds fe', 'precio_normal': '$ 1.079.990', 'precio_oferta': '$ 899.990', 'descuento': '17%'}, {'nombre_del_producto': 'xiaomi redmi note 12 pro plus 5g 256gb', 'precio_normal': '$ 549.990', 'precio_oferta': '$ 369.990', 'descuento': '33%'}, {'nombre_del_producto': 'motorola moto g54 5g 256gb', 'precio_normal': '$ 549.990', 'precio_oferta': '$ 179.990', 'descuento': '67%'}]",,,
4,linea blanca ,ofertas_principales,5,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/9cf222d0-628b-441c-9339-87a98aaa8d8e.webp,2024-03-05 19:20:15.866029,Oferta de electrodomésticos Fensa y Mademsa con hasta 41% de descuento,,"['moderno', 'urbano', 'dinámico', 'tecnológico', 'independiente']","['linea blanca', 'electrodomesticos', 'cocina']","['Fensa', 'Mademsa']","[{'nombre_del_producto': 'Refrigerador Fensa Side by Side', 'precio_normal': 859990, 'precio_oferta': 559990, 'descuento': '36%'}, {'nombre_del_producto': 'Lavadora Carga Superior Mademsa', 'precio_normal': 439990, 'precio_oferta': 279990, 'descuento': '39%'}, {'nombre_del_producto': 'Cocina a Gas Fensa', 'precio_normal': 459990, 'precio_oferta': 279990, 'descuento': '41%'}]",,,
5,notebook,ofertas_principales,6,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/9f57d0d8-73e2-45ce-8b77-f70f72cea126.webp,2024-03-05 19:20:15.866029,ofertas que pide la gente,,"['tecnofilo', 'gamer', 'estudiante', 'profesional', 'joven']","['notebooks', 'tecnologia', 'computacion']","['hp', 'asus', 'lenovo']","[{'nombre_del_producto': 'notebook hp omen 16 i5 nvidia 4050 16.1', 'precio_normal': 1599900, 'precio_oferta': 949990, 'descuento': '41%'}, {'nombre_del_producto': 'notebook asus vivobook 16x ryzen 7 15.6 fhd wifi 6', 'precio_normal': 859990, 'precio_oferta': 549990, 'descuento': '37%'}, {'nombre_del_producto': 'notebook ideapad 3 intel i5 12th 64gb 512gb ssd', 'precio_normal': 649990, 'precio_oferta': 369990, 'descuento': '43%'}]",,,
6,tv ,ofertas_principales,7,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/832f11ac-764a-420f-816f-b3229fbaa6dc.webp,2024-03-05 19:20:15.866029,ofertas que pide la gente,,"['tecnológico', 'moderno', 'exigente', 'consumista', 'activo']","['tv', 'smart', '4k']","['lg', 'samsung']","[{'nombre_del_producto': ""lg nanocell smart tv 65'' 4k"", 'precio_normal': 849990, 'precio_oferta': 599990, 'descuento': '27%'}, {'nombre_del_producto': ""samsung smart tv 55'' 4k"", 'precio_normal': 599990, 'precio_oferta': 369990, 'descuento': '35%'}, {'nombre_del_producto': ""lg smart tv 43'' 4k"", 'precio_normal': 429990, 'precio_oferta': 239990, 'descuento': '42%'}]",,,despacho gratis en productos seleccionados
7,colchones ,ofertas_principales,8,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/05bd7e28-d8f4-4ede-8dd0-8cb74de23728.webp,2024-03-05 19:20:15.866029,56% de descuento en set de muebles de dormitorio Rosen. Hasta 62% de descuento en colchones Rosen.,,"['adulto', 'independiente', 'soltero', 'pareja', 'sin hijos']","['muebles', 'dormitorio', 'camas']","['cic', 'rosen']","[{'nombre_del_producto': 'Set de muebles de dormitorio Rosen', 'precio_normal': '$624.990', 'precio_oferta': '$274.990', 'descuento': '56%'}, {'nombre_del_producto': 'Colchón Rosen Diván New Style 4 Plus 1.5 Plazas', 'precio_normal': '$699.990', 'precio_oferta': '$299.990', 'descuento': '56%'}, {'nombre_del_producto': 'Cama Europea Rosen Tempo King Base Dividida', 'precio_normal': '$1.099.990', 'precio_oferta': '$439.990', 'descuento': '62%'}]",,,
8,hasta 45% de descuento en consolas y videojuegos,grid_ofertas,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/0c72eaa7-625f-4e32-8cbb-9e41712f1aa9.webp,2024-03-05 19:20:15.866029,hasta 45% de descuento en consolas y videojuegos,,"['gamer', 'tecnologico', 'moderno', 'joven', 'entretenido']","['consolas', 'videojuegos', 'nintendo']","['playstation', 'nintendo', 'xbox']",[],,,
9,hasta 70% de descuento en muebles,grid_ofertas,2,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/6c0e1a3e-e890-46da-be0f-757406ea702e.webp,2024-03-05 19:20:15.866029,hasta 70% dcto en muebles,,"['moderno', 'minimalista', 'urbano', 'joven', 'independiente']","['muebles', 'sillones', 'decoracion']",,[],,,
