,name_img,tipo_oferta,position,url_img,datetime_checked
0,escolares,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e999774ebf56a0d/65e22ba411cd1d0d6ba1ae15/01-vitrina-DK-Escolares-040324-PS.jpg,3/4/2024 9:54
1,perfumes,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb68e430a7f015f4b/65e21f32d781fe3b38e75020/Perfumes-Belleza-Vitrina-dk-040324-NM.jpg,3/4/2024 9:54
2,apple week,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt8d3eb4fba17e3e66/65e220712c8bef028062301c/AppleWeek-Vitrina-mb-040324-NM.jpg,3/4/2024 9:54
3,muebles,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt18aa2257753fa845/65e22bb7ffa94a122f3d505e/04-vitrina-DK-Muebles-040324-PS.jpg,3/4/2024 9:54
4,computacion ,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt338565db7691a5f0/65e209a06e7edb2e04b50df7/05-Vitrina-DK-Computacion-040324-CS.jpg,3/4/2024 9:54
5,camas,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd82409f64a85eb65/65e209a0375999dc6670c6f0/06-Vitrina-dk-CAMAS-040324-CS.jpg,3/4/2024 9:54
6,vestuario nueva temporada,grid_ofertas,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf6d59e89a5498313/65e20fec4487d0cffd4003b8/MC-1-1-DK-VestNT-040324-CS.jpg,3/4/2024 9:54
7,serum belleza,grid_ofertas,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc904bc251719196e/65e20fec3b4c4f429b7aefd7/MC-1-2-DK-Bellezaa-040324-CS.jpg,3/4/2024 9:54
8,vestuario deportivo nueva temporada,grid_ofertas,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt44a608670da7c6d7/65e20fed72b3873cac22cc40/MC-1-3-DK-VestDeportivo-040324-CS.jpg,3/4/2024 9:54
9,videojuegos ,grid_ofertas,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf42bef80e1b07572/65e5c163f86c24b8b48e2208/MC-2-1-Playstation-dk-040324-DH.png,3/4/2024 9:54
10,television,grid_ofertas,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt5ef055edd4b0c60e/65e528dd11cd1d7df6a1b12a/MC-2-2-TV-dk-040324-DH.jpg,3/4/2024 9:54
11,linea blanca,grid_ofertas,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt64bff844883e4303/65e528dd2568ef84036ccbdc/MC-2-3-dk-Lineablanca-040324-DH.jpg,3/4/2024 9:54
12,"ropa de cama, sabanas",grid_ofertas,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt92931e7cdc86918c/65e22258396ebb046407e73c/Sabanas-MC3-1-dk-040324-NM.jpg,3/4/2024 9:54
13,iluminacion,grid_ofertas,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blte9f5814e174af457/65e22257ee3a130815c90106/Iluminacion-MC3-2-dk-040324-NM.jpg,3/4/2024 9:54
14,fitness,grid_ofertas,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd8243153b6d261d2/65e22258ae62f75c624bff70/Trotadora-MC3-3-dk-040324-NM.jpg,3/4/2024 9:54
15,desktop-category-image,lo_ultimo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt311beea7367b77c1/65e53e9f31aca1eacc7f066f/01-LoUltimo-Pantalones-040324-dk-PS.jpg,3/4/2024 9:54
16,desktop-category-image,lo_ultimo,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt3782875f89d7e7b0/65e5373b4487d0a9a7400755/02-LoUltimo-DC-040324-dk-PS.jpg,3/4/2024 9:54
17,desktop-category-image,lo_ultimo,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt628440034a071ef1/65e5373b375999263e70cb41/03-LoUltimo-Adidas-040324-dk-PS.jpg,3/4/2024 9:54
