,name_img,tipo_oferta,position,url_img,datetime_checked,promocion,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,escolares,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1e999774ebf56a0d/65e22ba411cd1d0d6ba1ae15/01-vitrina-DK-Escolares-040324-PS.jpg,3/4/2024 9:54,Hasta 6 cuotas sin interes en productos escolares,Niños y adolescentes que necesitan comprar utiles escolares,"['zapatillas', 'pantalones', 'mochilas']","['Adidas', 'Holley', 'Xtrem']","[{'nombre_del_producto': 'Zapatillas urbanas blancas Adidas VS Pace 2.0', 'precio_normal': 34.99, 'precio_oferta': 29.99, 'descuento': '14%'}, {'nombre_del_producto': 'Pantalon escolar Holley', 'precio_normal': 6.99, 'precio_oferta': 6.99, 'descuento': '0%'}, {'nombre_del_producto': 'Mochila Xtrem Dover 4xt', 'precio_normal': 22.99, 'precio_oferta': 19.99, 'descuento': '13%'}]",6,,
1,perfumes,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb68e430a7f015f4b/65e21f32d781fe3b38e75020/Perfumes-Belleza-Vitrina-dk-040324-NM.jpg,3/4/2024 9:54,30% de descuento en perfumes seleccionados,Mujeres,"['Perfumes', 'Belleza', 'Cuidado personal']","['Lancome', 'Rabanne', 'Giorgio Armani']","[{'nombre_del_producto': 'Lancome La Vie Est Belle', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Paco Rabanne 1 Million', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Giorgio Armani Acqua di Gioia', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}]",,,Envío en 24hs para productos seleccionados
2,apple week,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt8d3eb4fba17e3e66/65e220712c8bef028062301c/AppleWeek-Vitrina-mb-040324-NM.jpg,3/4/2024 9:54,Hasta 12 cuotas sin interés en productos Apple seleccionados.,Personas interesadas en productos Apple.,"['iPhone', 'iPad', 'Watch', 'Macbook']",['Apple'],"[{'nombre_del_producto': 'iPhone 15 Pro 256GB', 'precio_normal': '$ 1.349.990', 'precio_oferta': '$ 1.249.990', 'descuento': '7%'}]",12,,
3,muebles,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt18aa2257753fa845/65e22bb7ffa94a122f3d505e/04-vitrina-DK-Muebles-040324-PS.jpg,3/4/2024 9:54,Hasta 60% de descuento en muebles,Personas que buscan amueblar su casa o departamento con productos de calidad a buen precio,"['muebles', 'sillones', 'mesas']","['Deco Class', 'Vekka Home']","[{'nombre_del_producto': 'Sillón 3 cuerpos Deco Class Tela Velvet Arezzo', 'precio_normal': '$349.990', 'precio_oferta': '$239.990', 'descuento': '32%'}, {'nombre_del_producto': 'Comedor 4 sillas Vekka Home Celine Leone', 'precio_normal': '$219.990', 'precio_oferta': '$99.990', 'descuento': '55%'}]",6,,
4,computacion ,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt338565db7691a5f0/65e209a06e7edb2e04b50df7/05-Vitrina-DK-Computacion-040324-CS.jpg,3/4/2024 9:54,"Hasta 10 cuotas sin interés en notebooks, computadoras, tablets e impresoras. ","Estudiantes y profesionales que buscan adquirir una notebook, computadora o tablet a un precio accesible.","['Notebooks', 'Computadoras', 'Tablets']","['HP', 'Asus', 'Samsung']","[{'nombre_del_producto': 'Notebook HP 15 4ta generación 512GB SSD 14"" FHD', 'precio_normal': '$669.990', 'precio_oferta': '$449.990', 'descuento': '33%'}, {'nombre_del_producto': 'Notebook Asus Vivobook 14 i5 512GB SSD 14"" FHD', 'precio_normal': '$659.990', 'precio_oferta': '$429.990', 'descuento': '35%'}]",10,,
5,camas,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd82409f64a85eb65/65e209a0375999dc6670c6f0/06-Vitrina-dk-CAMAS-040324-CS.jpg,3/4/2024 9:54,,,,,,,,
6,vestuario nueva temporada,grid_ofertas,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf6d59e89a5498313/65e20fec4487d0cffd4003b8/MC-1-1-DK-VestNT-040324-CS.jpg,3/4/2024 9:54,30% de descuento en productos seleccionados,Familias con niños,"['Ropa', 'Calzado', 'Accesorios']","['Mango', 'Americanino', ""Carter's""]",[],,,
7,serum belleza,grid_ofertas,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc904bc251719196e/65e20fec3b4c4f429b7aefd7/MC-1-2-DK-Bellezaa-040324-CS.jpg,3/4/2024 9:54,30% de descuento en productos seleccionados de belleza,Mujeres de 25 a 45 años interesadas en el cuidado de la piel,"['Belleza', 'Cuidado de la piel', 'Serum']","['Lancome', 'Vichy', 'Estee Lauder']","[{'nombre_del_producto': 'Lancome Advanced Genifique Serum', 'precio_normal': None, 'precio_oferta': None, 'descuento': '30%'}, {'nombre_del_producto': 'Vichy Liftactiv Supreme H.A. Filler Serum', 'precio_normal': None, 'precio_oferta': None, 'descuento': '30%'}, {'nombre_del_producto': 'Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex', 'precio_normal': None, 'precio_oferta': None, 'descuento': '30%'}]",,,Envío en 24 horas para productos seleccionados
8,vestuario deportivo nueva temporada,grid_ofertas,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt44a608670da7c6d7/65e20fed72b3873cac22cc40/MC-1-3-DK-VestDeportivo-040324-CS.jpg,3/4/2024 9:54,30% de descuento en ropa deportiva de Adidas y Nike,Hombres y mujeres que buscan ropa deportiva de marca a buen precio,"['Ropa deportiva', 'Adidas', 'Nike']","['Adidas', 'Nike']",[],,,
9,videojuegos ,grid_ofertas,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf42bef80e1b07572/65e5c163f86c24b8b48e2208/MC-2-1-Playstation-dk-040324-DH.png,3/4/2024 9:54,"Lleva la PlayStation 5 Slim Standard con 2 juegos a un precio rebajado. Antes $659.990, ahora $639.990","Gamers, personas interesadas en tecnologia y videojuegos","['Consolas', 'Videojuegos', 'Tecnologia']","['Sony', 'PlayStation']",[],,,
