,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,banner-0,ofertas_principales,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709146820091-clt65vym30izls2rhtyn4bkfk.jpg,2024-03-06 19:17:17.056837,Cerveza Stella Artois 24 latas a $13.690. Stella Artois + Stones pack 6 unidades a $7.990. Lemon Stones 2 latas a $665.,Adultos mayores de edad que disfrutan de la cerveza y las bebidas alcohólicas.,"['Cerveza', 'Bebidas', 'Alcohol']","['Stella Artois', 'Stones', 'Lemon Stones']","[{'nombre_del_producto': 'Cerveza Stella Artois', 'precio_normal': '$570', 'precio_oferta': '$570', 'descuento': '0%'}, {'nombre_del_producto': 'Stella Artois + Stones pack 6 unidades', 'precio_normal': '$11.180', 'precio_oferta': '$7.990', 'descuento': '28%'}, {'nombre_del_producto': 'Lemon Stones', 'precio_normal': None, 'precio_oferta': '$665', 'descuento': None}]",,,
1,banner-1,ofertas_principales,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709560608283-cltd08vmj7ahx6srgy6pnxjkc.jpg,2024-03-06 19:17:17.056837,2x Viñamar espumante a $10.490,"Personas que buscan comprar espumantes, aperitivos y licores a buen precio","['Espumantes', 'Aperitivos', 'Licores']","['Aperol', 'Viñamar']","[{'nombre_del_producto': 'Aperol', 'precio_normal': '$11.990', 'precio_oferta': '$10.150', 'descuento': '15%'}, {'nombre_del_producto': 'Viñamar espumante', 'precio_normal': '$6.590', 'precio_oferta': '$10.490', 'descuento': '30%'}]",,,
2,banner-2,ofertas_principales,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709122788352-clt5rkvls068atdrh09jdx38i.jpg,2024-03-06 19:17:17.056837,Productos de limpieza y cuidado personal a $1.000,Personas que buscan productos de limpieza y cuidado personal a buen precio,"['limpieza', 'hogar', 'cuidado personal']","['Cif', 'OMO', 'Soft', 'Quix', 'Rins', 'Drive']","[{'nombre_del_producto': 'Cif', 'precio_normal': None, 'precio_oferta': 450, 'descuento': None}, {'nombre_del_producto': 'OMO', 'precio_normal': None, 'precio_oferta': 680, 'descuento': None}, {'nombre_del_producto': 'Soft', 'precio_normal': None, 'precio_oferta': 900, 'descuento': None}, {'nombre_del_producto': 'Quix', 'precio_normal': None, 'precio_oferta': 480, 'descuento': None}, {'nombre_del_producto': 'Rins', 'precio_normal': None, 'precio_oferta': 700, 'descuento': None}, {'nombre_del_producto': 'Drive', 'precio_normal': None, 'precio_oferta': 400, 'descuento': None}]",,,
3,banner-3,ofertas_principales,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709123246363-clt5rup0b07u8wirg9j78mey8.jpg,2024-03-06 19:17:17.056837,Productos de cuidado personal y belleza a $1.000,Hombres y mujeres que se preocupan por su cuidado personal y el de su hogar.,"['Cuidado personal', 'Belleza', 'Cuidado del hogar']","['Rexona', 'Dove', 'Le Sancy', 'Peptodent', 'Axe']","[{'nombre_del_producto': 'Rexona Clinical Aerosol XTRA WHITENING', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Rexona Clinical Aerosol Original', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Axe Dark Temptation Body Spray', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Dove Original Shampoo', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Dove Regeneración Shampoo', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Le Sancy Jabón Líquido', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Peptodent Pasta Dental Encías', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Peptodent Pasta Dental XTRA WHITENING', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}]",,,
4,banner-4,ofertas_principales,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709130239348-clt5w0ktw0cthvlrgleqqtysc.jpg,2024-03-06 19:17:17.056837,Productos de primera necesidad a precios rebajados,Familias con hijos pequeños,"['Cuidado del bebé', 'Limpieza del hogar', 'Cuidado personal']","['Nov', 'Elite', 'Babysec']","[{'nombre_del_producto': 'Papel higienico Elite', 'precio_normal': '$1.500', 'precio_oferta': '$1.000', 'descuento': '33%'}, {'nombre_del_producto': 'Pañales Babysec', 'precio_normal': '$2.500', 'precio_oferta': '$2.000', 'descuento': '20%'}]",,,
5,banner-5,ofertas_principales,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709144152962-clt64asn60i0yv5rgjvo3dftp.jpg,2024-03-06 19:17:17.056837,Quita manchas Clorox Ropa Blanco Supremo y Colores Vivos 300ml a $1000,Personas interesadas en la limpieza del hogar,"['limpieza', 'hogar', 'blanquería']",['Clorox'],[],,,
6,banner-6,ofertas_principales,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709644262396-cltee1vjw0o7swkrhdx7xg7hl.jpg,2024-03-06 19:17:17.056837,Disfruta la intensa frescura de Johnnie & Ginger. Whisky Johnnie Walker Black Label 1L a $35.490,Personas que disfrutan de bebidas alcohólicas de alta calidad y prestigio.,"['bebidas', 'whisky', 'importados']",['Johnnie Walker'],"[{'nombre_del_producto': 'Whisky Johnnie Walker Black Label', 'precio_normal': '$41.990', 'precio_oferta': '$35.490', 'descuento': '15%'}]",,,
7,banner-7,ofertas_principales,8,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709131473924-clt5wr1fo0ewlykr5bnjgdqp7.jpg,2024-03-06 19:17:17.056837,Hasta 50% de descuento en productos para el cuidado de la piel,"Mujeres de 25 a 45 años, interesadas en el cuidado de la piel.","['Cuidado de la piel', 'Cuidado del cabello', 'Cuidado del cuerpo']","['Neutrogena', 'Lubriderm', 'Familiar']","[{'nombre_del_producto': 'Neutrogena Hydro Boost Water Gel', 'precio_normal': '$10.000', 'precio_oferta': '$5.000', 'descuento': '50%'}, {'nombre_del_producto': 'Lubriderm Sensitive Skin Moisturizer', 'precio_normal': '$15.000', 'precio_oferta': '$10.000', 'descuento': '33%'}, {'nombre_del_producto': 'Familiar Hand Sanitizer', 'precio_normal': '$5.000', 'precio_oferta': '$3.000', 'descuento': '40%'}]",,,
8,grid1-desktop,grid_ofertas,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709145125923-clt64vndv0i7overgfet0uwzd.jpg,2024-03-06 19:17:17.056837,lleva 3 productos OMO y paga menos,Personas interesadas en el cuidado de la ropa y el hogar,"['Cuidado ropa', 'Limpieza', 'Hogar']",['OMO'],"[{'nombre_del_producto': 'OMO Ultra Poder Gel 3L', 'precio_normal': '$3.990', 'precio_oferta': '$3.390', 'descuento': '15%'}, {'nombre_del_producto': 'OMO Ultra Poder Polvo 7KG', 'precio_normal': '$7.990', 'precio_oferta': '$6.390', 'descuento': '20%'}, {'nombre_del_producto': 'OMO Lavavajillas Gel 1L', 'precio_normal': '$1.990', 'precio_oferta': '$1.590', 'descuento': '20%'}]",,,
9,grid2-desktop,grid_ofertas,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709148057331-clt66mh9v0mjlw7rghur8f7by.jpg,2024-03-06 19:17:17.056837,Productos Hellmann's con hasta un 30% de descuento,Personas que buscan ahorrar en la compra de productos de primera necesidad.,"['Mayonesa', 'Ketchup', 'Mostaza']","[""Hellmann's""]","[{'nombre_del_producto': ""Mayonesa Hellmann's"", 'precio_normal': '$1.000', 'precio_oferta': '$700', 'descuento': '30%'}, {'nombre_del_producto': ""Ketchup Hellmann's"", 'precio_normal': '$1.000', 'precio_oferta': '$700', 'descuento': '30%'}, {'nombre_del_producto': ""Mostaza Hellmann's"", 'precio_normal': '$1.000', 'precio_oferta': '$700', 'descuento': '30%'}]",,,
