,name_img,tipo_oferta,position,url_img,datetime_checked
0,zapatillas,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt4e499ae72c79dd1c/65e640663e2d0ef5c9f73180/Zapatillas-040324-mb.jpg,2024-03-05 19:04:50.526096
1,perfumes,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb68e430a7f015f4b/65e61bf47c85265522236640/Perfumes-Belleza-Vitrina-dk-040324-NM.jpg,2024-03-05 19:04:50.526096
2,apple week,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt76c90f30f0126599/65e2207231aca198237f030a/AppleWeek-Vitrina-dk-040324-NM.jpg,2024-03-05 19:04:50.526096
3,muebles,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt18aa2257753fa845/65e22bb7ffa94a122f3d505e/04-vitrina-DK-Muebles-040324-PS.jpg,2024-03-05 19:04:50.526096
4,computacion ,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt338565db7691a5f0/65e767511ab2dc2107979a92/05-Vitrina-DK-Computacion-040324-CS.jpg,2024-03-05 19:04:50.526096
5,camas,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd82409f64a85eb65/65e63ccf2c8bef2d47623a47/06-Vitrina-dk-CAMAS-040324-CS.jpg,2024-03-05 19:04:50.526096
6,20% calzado escolar	,ofertas_secundarias,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb6057076aae8c777/65e642223b4c4fb9fa7afae9/Hardsell-01-CalzadoEscolar-040324-DH.jpg,2024-03-05 19:04:50.526096
7,mochilas escolares 30%,ofertas_secundarias,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1b1c3badf71c8047/65e528c777ae45b737b10b70/Hardsell-02-Mochilas-040324-DH.jpg,2024-03-05 19:04:50.526096
8,uniformes escolares,ofertas_secundarias,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt043354dbd2e8a213/65e528c73b4c4f69a67af3c8/Hardsell-03-Uniformes-040324-DH.jpg,2024-03-05 19:04:50.526096
9,utiles escolares y libros 40%,ofertas_secundarias,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltcbb7bd71cefc27cc/65e528c76c65d7e88b87f5dc/Hardsell-04-Utiles-040324-DH.jpg,2024-03-05 19:04:50.526096
10,vestuario nueva temporada,grid_ofertas,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf6d59e89a5498313/65e20fec4487d0cffd4003b8/MC-1-1-DK-VestNT-040324-CS.jpg,2024-03-05 19:04:50.526096
11,serum belleza,grid_ofertas,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc904bc251719196e/65e20fec3b4c4f429b7aefd7/MC-1-2-DK-Bellezaa-040324-CS.jpg,2024-03-05 19:04:50.526096
12,vestuario deportivo nueva temporada,grid_ofertas,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt44a608670da7c6d7/65e20fed72b3873cac22cc40/MC-1-3-DK-VestDeportivo-040324-CS.jpg,2024-03-05 19:04:50.526096
13,videojuegos ,grid_ofertas,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltf42bef80e1b07572/65e5c163f86c24b8b48e2208/MC-2-1-Playstation-dk-040324-DH.png,2024-03-05 19:04:50.526096
14,television,grid_ofertas,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt5ef055edd4b0c60e/65e77353ed37f67a44b10371/MC-2-2-TV-dk-040324-DH.jpg,2024-03-05 19:04:50.526096
15,linea blanca,grid_ofertas,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt64bff844883e4303/65e78ac170389a3eb5f663f7/MC-2-3-dk-Lineablanca-040324-DH.jpg,2024-03-05 19:04:50.526096
16,"ropa de cama, sabanas",grid_ofertas,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt92931e7cdc86918c/65e63ac1330e0054cf7f8f9e/Sabanas-MC3-1-dk-040324-NM.jpg,2024-03-05 19:04:50.526096
17,iluminacion,grid_ofertas,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blte9f5814e174af457/65e22257ee3a130815c90106/Iluminacion-MC3-2-dk-040324-NM.jpg,2024-03-05 19:04:50.526096
18,fitness,grid_ofertas,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd8243153b6d261d2/65e22258ae62f75c624bff70/Trotadora-MC3-3-dk-040324-NM.jpg,2024-03-05 19:04:50.526096
19,desktop-category-image,lo_ultimo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt311beea7367b77c1/65e53e9f31aca1eacc7f066f/01-LoUltimo-Pantalones-040324-dk-PS.jpg,2024-03-05 19:04:50.526096
20,desktop-category-image,lo_ultimo,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt3782875f89d7e7b0/65e5373b4487d0a9a7400755/02-LoUltimo-DC-040324-dk-PS.jpg,2024-03-05 19:04:50.526096
21,desktop-category-image,lo_ultimo,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt628440034a071ef1/65e5373b375999263e70cb41/03-LoUltimo-Adidas-040324-dk-PS.jpg,2024-03-05 19:04:50.526096
