,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked
0,banner-0,ofertas_principales,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709146820091-clt65vym30izls2rhtyn4bkfk.jpg,2024-03-06 19:17:17.056837
1,banner-1,ofertas_principales,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709560608283-cltd08vmj7ahx6srgy6pnxjkc.jpg,2024-03-06 19:17:17.056837
2,banner-2,ofertas_principales,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709122788352-clt5rkvls068atdrh09jdx38i.jpg,2024-03-06 19:17:17.056837
3,banner-3,ofertas_principales,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709123246363-clt5rup0b07u8wirg9j78mey8.jpg,2024-03-06 19:17:17.056837
4,banner-4,ofertas_principales,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709130239348-clt5w0ktw0cthvlrgleqqtysc.jpg,2024-03-06 19:17:17.056837
5,banner-5,ofertas_principales,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709144152962-clt64asn60i0yv5rgjvo3dftp.jpg,2024-03-06 19:17:17.056837
6,banner-6,ofertas_principales,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709644262396-cltee1vjw0o7swkrhdx7xg7hl.jpg,2024-03-06 19:17:17.056837
7,banner-7,ofertas_principales,8,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709131473924-clt5wr1fo0ewlykr5bnjgdqp7.jpg,2024-03-06 19:17:17.056837
8,grid1-desktop,grid_ofertas,1,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709145125923-clt64vndv0i7overgfet0uwzd.jpg,2024-03-06 19:17:17.056837
9,grid2-desktop,grid_ofertas,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709148057331-clt66mh9v0mjlw7rghur8f7by.jpg,2024-03-06 19:17:17.056837
10,grid3-desktop,grid_ofertas,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709146173593-clt65i3rt0igmv5rgn4aqe5cr.jpg,2024-03-06 19:17:17.056837
11,grid4-desktop,grid_ofertas,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709146566760-clt65qj540m1qw7rgx3ghfvt3.jpg,2024-03-06 19:17:17.056837
12,line-breakers-top-desktop,grid_ofertas,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709642989678-cltedalim97dqljr5rskpuwky.jpg,2024-03-06 19:17:17.056837
13,bts libreria mcl-1,ofertas_final_pag,1,https://apps.lider.cl/landing/banners/lineBreakers/bottom/desktop/sod/rompefilas_bts_libreria_mcl_desktop-1704911819580.png,2024-03-06 19:17:17.056837
14,offers-1-2,ofertas_final_pag,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709151361925-clt68lb450lintdrhpucka58t.jpg,2024-03-06 19:17:17.056837
15,offers-1-3,ofertas_final_pag,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147108586-clt66257u0ilcverg54axj8fj.jpg,2024-03-06 19:17:17.056837
16,blockimage-4,ofertas_final_pag,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147231328-clt664rxc0iqus9rhz35arh1j.jpg,2024-03-06 19:17:17.056837
17,blockimage-5,ofertas_final_pag,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147354304-clt667etc0jnuyjr5tfcs74zi.jpg,2024-03-06 19:17:17.056837
18,blockimage-6,ofertas_final_pag,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147516833-clt66aw810jwhwirgrfd0mcw2.jpg,2024-03-06 19:17:17.056837
19,blockimage-7,ofertas_final_pag,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147662253-clt66e0fh0levt2rhpa4stzww.jpg,2024-03-06 19:17:17.056837
