SKU tienda,Nombre del producto,Marca,Categoría,Subcategoría,Tienda,Precio normal,Precio final,Descuento,Precio tarjeta,Estado,Fecha,Hora actualización,URL
alg-15-02240,"royal canin indoor 27 felino 7,5 kg",royal canin,--,--,Best for Pets,70500,56400,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/186-115-royal-canin-indoor-27-felino.html
alg-03-00275,"hills prescription diet r/d weight loss felino 3,85 kg",hills,--,--,Best for Pets,71500,60775,15%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/101-951-hill%C2%B4s-prescription-diet-rd-weight-loss-felino.html
alg-03-00268,"hills prescription diet k/d kidney care felino 3,85 kg",hills,--,--,Best for Pets,,66150,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/99-66-hill%C2%B4s-prescription-diet-kd-kidney-care-felino.html
alg-03-08142,"hills science diet adult hairball control felino 1,5 kg",hills,--,--,Best for Pets,,24750,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/105-3544-hill%C2%B4s-science-diet-adult-hairball-control-felino.html
alg-03-00256,"hills science diet adult light felino 3,2 kg",hills,--,--,Best for Pets,,39150,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/108-68-hill%C2%B4s-science-diet-adult-light-felino.html
alg-03-00250,hills science diet adult hairball control felino 7 kg,hills,--,--,Best for Pets,,80910,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/105-3400-hill%C2%B4s-science-diet-adult-hairball-control-felino.html
alg-03-00246,"hills science diet adult chicken recipe felino 7,2 kg",hills,--,--,Best for Pets,,77310,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/111-3398-hill%C2%B4s-science-diet-adult-chicken-recipe-felino.html
alg-03-00240,"hills science diet kitten chicken recipe 3,17 kg",hills,--,--,Best for Pets,,38250,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/110-3395-hill%C2%B4s-science-diet-kitten-chicken-recipe.html
alg-03-00263,"hills prescription diet c/d urinary care multicare with chicken felino 3,85 kg",hills,--,--,Best for Pets,,57150,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/95-820-hill%C2%B4s-prescription-diet-cd-urinary-care-multicare-with-chicken-felino.html
alg-01-06726,pro plan cat sterilized optirenal 3 kg,pro plan,--,--,Best for Pets,32500,27625,15%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/161-2048-pro-plan-cat-sterilized-optirenal.html
