,sku,nombre_del_producto,marca,categoria,subcategoria,precio_de_lista,mas_bajo,mas_alto,precio_mercado
0,12449268,CAT CHOW Adt Delicias Sab Carne  1 kg,cat chow,gato,,6190,6120,6120,6120
1,12449267,CAT CHOW Adt Delicias Sab Carne  3 kg,cat chow,gato,,15990,81,17990,12120
2,12442671,CAT CHOW ADULTOS Hogareños  1 kg,cat chow,gato,,6190,6120,6120,6120
3,12442300,CAT CHOW ADULTOS Hogareños  3 kg,cat chow,gato,,15990,14500,17990,16245
4,12442655,CAT CHOW ADULTOS Hogareños  8 kg,cat chow,gato,seco,29490,26550,35990,30110
5,12449306,CAT CHOW Adultos Pescado  1 kg,cat chow,gato,,6190,5940,5940,5940
6,12449320,CAT CHOW Adultos Pescado  3 kg,cat chow,gato,,15990,81,17990,11920
7,12449292,CAT CHOW Adultos Pescado  8 kg,cat chow,gato,seco,29490,25070,35990,29771
8,12449109,CAT CHOW DELIMIX  1kg,cat chow,gato,,6190,5490,6600,6045
9,12449264,CAT CHOW DELIMIX  3kg,cat chow,gato,,15990,11610,17990,15003
10,12449123,CAT CHOW Esterilizado DefensePlus  1 kg,cat chow,gato,,6190,6120,6120,6120
11,12449113,CAT CHOW Esterilizado DefensePlus  3 kg,cat chow,gato,,15990,15210,18990,16485
12,12442303,CAT CHOW Esterilizado DefensePlus  8 kg,cat chow,gato,seco,29490,26320,34990,28550
13,12449310,CAT CHOW Gatitos  3 kg,cat chow,gato,,16990,81,19990,13105
14,12500993,DOG CHOW Adt M/G Car&Pll SinCol   8kg,dog chow,perro,seco,24990,19900,26990,23070
15,12381386,DOG CHOW Adt M/G Car&Pll SinCol  18kg,dog chow,perro,seco,48790,40990,53990,44702
16,12500997,DOG CHOW AdtMnPqn Car&Pll SinCol  8 kg,dog chow,perro,seco,28490,24220,34990,27714
17,12471502,DOG CHOW Adulto 7+ Longevidad  15kg,dog chow,perro,,38490,27810,30990,29830
18,12471499,DOG CHOW Adulto 7+ Longevidad  18kg,dog chow,perro,seco,48790,21000,48150,39533
19,12471500,DOG CHOW Adulto 7+ Longevidad  3kg,dog chow,perro,,11890,9500,12060,10780
20,12471501,DOG CHOW Adulto 7+ Longevidad  8kg,dog chow,perro,seco,24990,21250,26991,23564
21,12460993,DOG CHOW Adulto Medianos y Grandes Pll&Pav 3kg,dog chow,perro,,11890,22000,22000,22000
22,12461010,DOG CHOW Adulto Minis y Pequeños Pll&Pav  3 kg,dog chow,perro,,12990,11600,11600,11600
23,12461001,DOG CHOW Adulto Minis y Pequeños Pll&Pav  8 kg,dog chow,perro,seco,28490,25200,34990,28812
24,12461139,"DOG CHOW Cachorro Minis y Pequeños  1,5kg",dog chow,perro,,8990,7600,7600,7600
25,12471514,DOG CHOW Cachrorro Raza Mediana y Grande 18kg,dog chow,perro,seco,53490,44990,58990,49373
26,12460618,DOG CHOW Cachrorro Raza Mediana y Grande 3kg,dog chow,perro,,12990,12420,12420,12420
27,12471512,DOG CHOW Control de Peso  15kg,dog chow,perro,,38490,27645,27645,27645
28,12471510,DOG CHOW Control de Peso  3kg,dog chow,perro,,11890,10190,12060,11125
29,12471511,DOG CHOW Control de Peso  8kg,dog chow,perro,seco,24990,21150,30990,24706
30,12434293,DOG CHOW Galletas PolloMedGde   500gr,dog chow,perro,,4690,4190,5590,4932
31,12479465,Dog Chow Galletas Sabor Pollo- CACH Todos Los Tamaños  2 kg,dog chow,perro,,17490,17490,17490,17490
32,12434258,DOGCHOW GalletasPolloMiniPeq   500gr,dog chow,perro,,4690,4230,5490,4725
33,12434287,DOGCHOWGalletasPllyLecCchrTdTm  300gr,dog chow,perro,,3550,2691,4690,3420
